Sample_Index,NCC_Value
385,0.00392979
386,0.00301606
387,0.00223213
388,0.00212470
389,0.00133904
390,0.00073591
391,-0.00118151
392,-0.00317478
393,-0.00518839
394,-0.00763317
395,-0.00876243
396,-0.01051913
397,-0.01207773
398,-0.01306465
399,-0.01291636
400,-0.01317451
401,-0.01327004
402,-0.01387294
403,-0.01486716
404,-0.01660992
405,-0.01819815
406,-0.01934087
407,-0.01814780
408,-0.01462007
409,-0.00870383
410,-0.00128192
411,0.00817259
412,0.01714888
413,0.02617137
414,0.03353080
415,0.03781670
416,0.03922855
417,0.03816573
418,0.03451438
419,0.02822742
420,0.02158575
421,0.01334182
422,0.00651984
423,0.00059932
424,-0.00487888
425,-0.00921632
426,-0.01220632
427,-0.01505972
428,-0.01735876
429,-0.01847140
430,-0.01880167
431,-0.01870041
432,-0.01734269
433,-0.01603697
434,-0.01406648
435,-0.01188364
436,-0.00968162
437,-0.00735272
438,-0.00545227
439,-0.00296490
440,-0.00109953
441,0.00221391
442,0.00530084
443,0.00974431
444,0.01610968
445,0.02309272
446,0.03157777
447,0.04032554
448,0.04883330
449,0.05592207
450,0.06187733
451,0.06487125
452,0.06368076
453,0.06035071
454,0.05304812
455,0.04439239
456,0.03357933
457,0.02340188
458,0.01299556
459,0.00360284
460,-0.00376661
461,-0.00999259
462,-0.01367736
463,-0.01643731
464,-0.01832804
465,-0.01984580
466,-0.02107741
467,-0.02207877
468,-0.02228035
469,-0.02307698
470,-0.02290715
471,-0.02185769
472,-0.01948300
473,-0.01530142
474,-0.01017601
475,-0.00225604
476,0.00627819
477,0.01692135
478,0.02790471
479,0.03906675
480,0.05012273
481,0.05917680
482,0.06689854
483,0.07105356
484,0.07268881
485,0.07105977
486,0.06716385
487,0.06199285
488,0.05414863
489,0.04717089
490,0.03892053
491,0.03110825
492,0.02288572
493,0.01460235
494,0.00706039
495,-0.00161642
496,-0.00897782
497,-0.01703924
498,-0.02314853
499,-0.02726298
500,-0.02960590
501,-0.02883009
502,-0.02716726
503,-0.02299290
504,-0.01697810
505,-0.01131289
506,-0.00549333
507,-0.00080837
508,0.00393430
509,0.00733981
510,0.01112424
511,0.01507426
512,0.01893204
513,0.02382686
514,0.02829512
515,0.03439566
516,0.03915912
517,0.04407982
518,0.04720024
519,0.04779958
520,0.04706342
521,0.04429906
522,0.04046943
523,0.03527856
524,0.03055144
525,0.02579711
526,0.02078211
527,0.01672630
528,0.01260925
529,0.00949874
530,0.00570600
531,0.00158734
532,-0.00342557
533,-0.00891815
534,-0.01570945
535,-0.02228449
536,-0.02865772
537,-0.03541236
538,-0.04201690
539,-0.04753722
540,-0.05214882
541,-0.05563392
542,-0.05739700
543,-0.05827828
544,-0.05733211
545,-0.05570346
546,-0.05280381
547,-0.04890369
548,-0.04396266
549,-0.03817895
550,-0.03271819
551,-0.02864875
552,-0.02643043
553,-0.02385175
554,-0.02422534
555,-0.02529402
556,-0.02919237
557,-0.03204105
558,-0.03270514
559,-0.03370011
560,-0.03120260
561,-0.02844719
562,-0.02366366
563,-0.01929270
564,-0.01498422
565,-0.01069097
566,-0.00830994
567,-0.00638508
568,-0.00711363
569,-0.00992187
570,-0.01434329
571,-0.01846511
572,-0.02221090
573,-0.02643100
574,-0.03022148
575,-0.03409733
576,-0.03704936
577,-0.03993809
578,-0.04115229
579,-0.04176508
580,-0.04196708
581,-0.04167615
582,-0.04216977
583,-0.04119355
584,-0.03868532
585,-0.03474339
586,-0.02920167
587,-0.02316112
588,-0.01644380
589,-0.01078314
590,-0.00636406
591,-0.00461373
592,-0.00552374
593,-0.00908451
594,-0.01583965
595,-0.02302715
596,-0.03002456
597,-0.03553285
598,-0.03837511
599,-0.03827953
600,-0.03517878
601,-0.03006126
602,-0.02430097
603,-0.01867218
604,-0.01403832
605,-0.01217931
606,-0.01298361
607,-0.01688103
608,-0.02213176
609,-0.02710470
610,-0.03145454
611,-0.03330622
612,-0.03167574
613,-0.02832176
614,-0.02199821
615,-0.01472153
616,-0.00817729
617,-0.00232590
618,0.00239859
619,0.00463981
620,0.00355963
621,0.00379393
622,0.00477687
623,0.00609344
624,0.00996528
625,0.01368909
626,0.01769574
627,0.02253981
628,0.02452906
629,0.02518407
630,0.02155141
631,0.01364129
632,0.00380219
633,-0.00855192
634,-0.02171970
635,-0.03423583
636,-0.04481435
637,-0.05241875
638,-0.05904192
639,-0.06254051
640,-0.06316111
641,-0.06309262
642,-0.06165509
643,-0.05963268
644,-0.05702782
645,-0.05371925
646,-0.05068753
647,-0.04785004
648,-0.04420779
649,-0.04013486
650,-0.03568217
651,-0.03165769
652,-0.02893460
653,-0.02708545
654,-0.02648539
655,-0.02687663
656,-0.02807657
657,-0.02977964
658,-0.03085280
659,-0.03090589
660,-0.02928243
661,-0.02576287
662,-0.02115017
663,-0.01521213
664,-0.00913647
665,-0.00370155
666,0.00048607
667,0.00357198
668,0.00476578
669,0.00454617
670,0.00349800
671,0.00196649
672,0.00036550
673,-0.00148900
674,-0.00314241
675,-0.00558583
676,-0.00921089
677,-0.01428974
678,-0.02227038
679,-0.03214466
680,-0.04317808
681,-0.05543524
682,-0.06634610
683,-0.07495507
684,-0.08169707
685,-0.08311524
686,-0.08069286
687,-0.07550945
688,-0.06637643
689,-0.05560158
690,-0.04500973
691,-0.03547467
692,-0.02708562
693,-0.02134023
694,-0.01823596
695,-0.01658381
696,-0.01668935
697,-0.01742741
698,-0.01834103
699,-0.01962371
700,-0.02047124
701,-0.02071233
702,-0.02082794
703,-0.01977545
704,-0.01800309
705,-0.01555414
706,-0.01220521
707,-0.00905846
708,-0.00624645
709,-0.00365939
710,-0.00248397
711,-0.00229390
712,-0.00449127
713,-0.00912213
714,-0.01523824
715,-0.02238025
716,-0.03059903
717,-0.03844103
718,-0.04424336
719,-0.04949030
720,-0.05091240
721,-0.05091550
722,-0.05003668
723,-0.04760876
724,-0.04483629
725,-0.04283300
726,-0.04196709
727,-0.04203374
728,-0.04336618
729,-0.04604281
730,-0.05008507
731,-0.05407961
732,-0.05779952
733,-0.06125755
734,-0.06282498
735,-0.06207019
736,-0.05934859
737,-0.05353264
738,-0.04609451
739,-0.03763674
740,-0.02744518
741,-0.01646821
742,-0.00662118
743,0.00212141
744,0.00879155
745,0.01154626
746,0.01218013
747,0.00916772
748,0.00268378
749,-0.00650360
750,-0.01791488
751,-0.02982958
752,-0.04159729
753,-0.05168362
754,-0.06002736
755,-0.06474577
756,-0.06630239
757,-0.06562400
758,-0.06264644
759,-0.05822498
760,-0.05356944
761,-0.04847088
762,-0.04422652
763,-0.04196453
764,-0.04080535
765,-0.03996301
766,-0.03859123
767,-0.03555840
768,-0.03080598
769,-0.02428752
770,-0.01617515
771,-0.00713762
772,0.00092034
773,0.00719124
774,0.00971316
775,0.00858925
776,0.00337678
777,-0.00510756
778,-0.01485653
779,-0.02499560
780,-0.03324643
781,-0.03779374
782,-0.03952159
783,-0.03803456
784,-0.03456585
785,-0.03157260
786,-0.02900198
787,-0.02872122
788,-0.03144251
789,-0.03616978
790,-0.04173650
791,-0.04708279
792,-0.05000387
793,-0.04947560
794,-0.04635819
795,-0.04158979
796,-0.03556495
797,-0.03087419
798,-0.02788566
799,-0.02693149
800,-0.02931504
801,-0.03471466
802,-0.04069660
803,-0.04750016
804,-0.05394460
805,-0.05804040
806,-0.06081957
807,-0.06245998
808,-0.06217375
809,-0.06170146
810,-0.06156308
811,-0.06236283
812,-0.06344641
813,-0.06615970
814,-0.06896707
815,-0.07124922
816,-0.07303229
817,-0.07339992
818,-0.07368143
819,-0.07302974
820,-0.07389694
821,-0.07281589
822,-0.07165567
823,-0.07579584
824,-0.07753837
825,-0.08061565
826,-0.08637039
827,-0.09056085
828,-0.09379866
829,-0.09749963
830,-0.09772826
831,-0.09596241
832,-0.09327044
833,-0.08565046
834,-0.07826923
835,-0.07009149
836,-0.05870371
837,-0.04942833
838,-0.03972711
839,-0.03090630
840,-0.02474749
841,-0.01885359
842,-0.01658991
843,-0.01429591
844,-0.01304607
845,-0.01282114
846,-0.01044059
847,-0.00830545
848,-0.00646714
849,-0.00416200
850,-0.00289323
851,-0.00313408
852,-0.00414952
853,-0.00650410
854,-0.01112549
855,-0.01746434
856,-0.02415026
857,-0.02995988
858,-0.03569204
859,-0.03867514
860,-0.03906570
861,-0.03682954
862,-0.03220528
863,-0.02443821
864,-0.01479875
865,-0.00366604
866,0.00589080
867,0.01398116
868,0.01950607
869,0.02070335
870,0.01852180
871,0.01338726
872,0.00549718
873,-0.00389146
874,-0.01336621
875,-0.02218160
876,-0.02826585
877,-0.03102123
878,-0.02960936
879,-0.02463780
880,-0.01663102
881,-0.00770499
882,0.00318376
883,0.01312450
884,0.02040734
885,0.02573429
886,0.02802462
887,0.02619320
888,0.02150665
889,0.01420080
890,0.00619737
891,-0.00217431
892,-0.00973947
893,-0.01548538
894,-0.01988972
895,-0.02253648
896,-0.02508281
897,-0.02687416
898,-0.02845907
899,-0.03059115
900,-0.03190970
901,-0.03170374
902,-0.02984111
903,-0.02502559
904,-0.01744214
905,-0.00782446
906,0.00388629
907,0.01564800
908,0.02613491
909,0.03397064
910,0.03743725
911,0.03646898
912,0.03151382
913,0.02275897
914,0.01273483
915,0.00245008
916,-0.00733408
917,-0.01417979
918,-0.01830502
919,-0.01935181
920,-0.01856546
921,-0.01782813
922,-0.01725263
923,-0.01781874
924,-0.02063245
925,-0.02604721
926,-0.03307247
927,-0.04165353
928,-0.04980184
929,-0.05533052
930,-0.05815056
931,-0.05803196
932,-0.05485525
933,-0.04836858
934,-0.03946901
935,-0.03015475
936,-0.02016280
937,-0.01168505
938,-0.00486497
939,-0.00012091
940,0.00249334
941,0.00303216
942,0.00207733
943,0.00001558
944,-0.00226143
945,-0.00461541
946,-0.00619485
947,-0.00727266
948,-0.00835604
949,-0.00792237
950,-0.00699106
951,-0.00585550
952,-0.00460013
953,-0.00463667
954,-0.00534798
955,-0.00621089
956,-0.00819592
957,-0.01144686
958,-0.01550721
959,-0.01997678
960,-0.02551052
961,-0.03081113
962,-0.03659628
963,-0.04226500
964,-0.04791728
965,-0.05366320
966,-0.05902093
967,-0.06368951
968,-0.06661441
969,-0.06871422
970,-0.06812114
971,-0.06528442
972,-0.05983916
973,-0.05079910
974,-0.03949004
975,-0.02578481
976,-0.01062409
977,0.00388908
978,0.01719556
979,0.02831031
980,0.03614742
981,0.03863185
982,0.03752897
983,0.03250486
984,0.02337222
985,0.01246702
986,0.00024855
987,-0.01289583
988,-0.02513278
989,-0.03663622
990,-0.04645172
991,-0.05427575
992,-0.06063221
993,-0.06649903
994,-0.07117856
995,-0.07408289
996,-0.07648209
997,-0.07659783
998,-0.07595162
999,-0.07390275
1000,-0.07071421
1001,-0.06760806
1002,-0.06450260
1003,-0.06109559
1004,-0.05784290
1005,-0.05572259
1006,-0.05342326
1007,-0.05120059
1008,-0.04866355
1009,-0.04478651
1010,-0.03841910
1011,-0.03003925
1012,-0.01889027
1013,-0.00482642
1014,0.01115984
1015,0.02689420
1016,0.04295994
1017,0.05583849
1018,0.06479415
1019,0.06980059
1020,0.06844612
1021,0.06310076
1022,0.05430933
1023,0.04229139
1024,0.02987425
1025,0.01912471
1026,0.01137958
1027,0.00815559
1028,0.00890462
1029,0.01365721
1030,0.02155917
1031,0.03042086
1032,0.03909130
1033,0.04452096
1034,0.04932475
1035,0.04912531
1036,0.04155536
1037,0.03228032
1038,0.01983246
1039,0.00704195
1040,-0.00412281
1041,-0.01216288
1042,-0.01583052
1043,-0.01368391
1044,-0.00637858
1045,0.00350021
1046,0.01457384
1047,0.02537613
1048,0.03343681
1049,0.03828644
1050,0.03845982
1051,0.03391749
1052,0.02677446
1053,0.01891981
1054,0.01084865
1055,0.00493668
1056,0.00203905
1057,0.00258901
1058,0.00742841
1059,0.01419906
1060,0.02010477
1061,0.02557762
1062,0.02864707
1063,0.02848013
1064,0.02476951
1065,0.01743122
1066,0.00825079
1067,-0.00081235
1068,-0.01013873
1069,-0.01616411
1070,-0.01814875
1071,-0.01578619
1072,-0.00965628
1073,-0.00011664
1074,0.00987042
1075,0.01940383
1076,0.02627781
1077,0.03009742
1078,0.03052746
1079,0.02769298
1080,0.02366712
1081,0.01909598
1082,0.01625354
1083,0.01503121
1084,0.01548838
1085,0.01815824
1086,0.02070468
1087,0.02358641
1088,0.02466495
1089,0.02184954
1090,0.01753990
1091,0.01012920
1092,0.00130139
1093,-0.00815677
1094,-0.01641710
1095,-0.02275354
1096,-0.02580881
1097,-0.02317069
1098,-0.01879349
1099,-0.01259422
1100,-0.00651723
1101,-0.00136141
1102,0.00062683
1103,-0.00126279
1104,-0.00556086
1105,-0.01229760
1106,-0.01862503
1107,-0.02366495
1108,-0.02570049
1109,-0.02359827
1110,-0.01754611
1111,-0.00833852
1112,0.00329824
1113,0.01471033
1114,0.02546851
1115,0.03276909
1116,0.03600139
1117,0.03776731
1118,0.03734962
1119,0.03614312
1120,0.03551712
1121,0.03678963
1122,0.04096887
1123,0.04689804
1124,0.05422886
1125,0.06182762
1126,0.06756636
