correlation_f0,correlation_f1,confidence,bit
0.0180144,0.00904305,0.331567,0
0.0111221,0.00830076,0.145261,0
-0.0107566,-0.00502985,0.362765,1
-0.0345975,-0.0155623,0.379489,1
-0.00252984,-0.00186298,0.151806,1
0.0287544,0.0128765,0.381396,0
0.00474228,-0.00401004,1,0
-0.00687539,-0.00392684,0.272958,1
-0.0390276,-0.022618,0.266193,1
-0.010855,-0.00109336,0.816986,1
0.0214177,0.0113902,0.305643,0
0.0147766,0.0162722,0.0481692,1
-0.0197078,-0.00931809,0.357946,1
-0.0417911,-0.0177254,0.404352,1
0.00321542,0.00449113,0.165537,1
0.0317045,0.0168134,0.306919,0
0.00250828,-0.00126846,1,0
-0.021001,-0.00652094,0.526127,1
-0.0184679,-0.0119349,0.21488,1
-0.00723391,-0.0020149,0.564289,1
0.0178563,0.00682662,0.446855,0
0.0403198,0.0180026,0.382652,0
-0.0311811,-0.019018,0.242297,1
-0.00109233,0.00133116,1,1
-0.000695154,-0.00333568,0.655082,0
0.0686031,0.0272246,0.431801,0
-0.0157744,-0.0078475,0.335574,1
-0.0182404,-0.0106986,0.260611,1
-0.026134,-0.0180185,0.183805,1
0.0156626,0.00905026,0.267568,0
0.00233115,-0.000406802,1,0
0.0274971,0.0123734,0.37932,0
-0.0158721,-0.00140551,0.837303,1
-0.0182647,-0.00635701,0.483625,1
0.0312885,0.01036,0.502503,0
0.010239,0.00245305,0.613452,0
0.00604175,0.00106401,0.700522,0
-0.0155553,-0.010449,0.196365,1
0.00309938,-0.00306853,1,0
0.0156227,0.00998443,0.220183,0
-0.0203295,-0.00515091,0.595697,1
0.00321122,0.00116274,0.468334,0
-0.045326,-0.0128688,0.557733,1
-0.00348372,0.00250314,1,1
0.0118,0.00567872,0.350212,0
0.0148479,0.0132953,0.0551671,0
-0.0351525,-0.0132927,0.451229,1
-0.0191781,-0.0105529,0.290108,1
-0.0323245,-0.00925506,0.554827,1
0.0607269,0.0284926,0.361292,0
-0.0186344,-0.00862414,0.367233,1
0.0405933,0.0148214,0.465073,0
-0.05302,-0.0212847,0.427097,1
0.011144,0.0056651,0.325949,0
-0.0100377,-0.00233873,0.622066,1
0.0195738,0.00869929,0.384625,0
-0.0197481,-0.00895696,0.375932,1
0.00429066,-0.00167361,1,0
-0.0196271,-0.00686141,0.481933,1
0.0496931,0.0179377,0.469541,0
-0.0208344,-0.00669185,0.513784,1
0.0122947,0.00903688,0.152724,0
-0.0468426,-0.0216435,0.367945,1
0.0229737,0.0117522,0.323146,0
-0.00647012,0.00371711,1,1
0.0227169,0.0105335,0.366412,0
-0.0194704,-0.0105829,0.295726,1
-0.0216117,-0.0104307,0.348944,1
-0.000123529,-0.00110202,0.79841,0
0.0532407,0.0213679,0.427201,0
0.0118254,0.00597496,0.328671,0
0.00194998,0.020045,0.822688,1
-0.513842,-0.00951888,0.963624,1
0.536354,-0.166583,1,0
-0.257046,0.120955,1,1
0.217795,-0.334539,1,0
-0.0133611,-0.131771,0.815877,0
0.0415294,0.254519,0.719441,1
0.0375621,-0.275851,1,0
0.0703234,0.233528,0.537119,1
0.686599,-0.0980421,1,0
-1.84567,0.192565,1,1
0.836606,0.117708,0.753314,0
2.82972,-0.302704,1,0
2.80981,-0.319046,1,0
-0.142717,-0.21433,0.200568,0
-0.575081,-1.01088,0.274784,0
-0.0202958,1.47437,1,1
-0.283396,-0.232192,0.0993111,1
-0.0468163,-1.14653,0.921538,0
1.48645,0.332991,0.633963,0
-0.791198,0.164585,1,1
-2.90026,0.373609,1,1
-2.37745,0.21266,1,1
0.760305,-0.687513,1,0
0.666699,0.452237,0.191666,0
0.526925,1.42218,0.459317,1
0.0389533,-1.3181,1,0
-0.114372,-0.0252684,0.638094,1
-0.866705,1.63157,1,1
1.00683,0.158349,0.728198,0
3.14769,-0.409509,1,0
2.02033,-0.291747,1,0
-1.36267,0.368205,1,1
-1.11223,1.22048,1,1
-0.737625,0.774153,1,1
-0.270343,-1.68478,0.723452,0
0.202319,0.991802,0.661142,1
0.793018,0.479,0.246866,0
-1.28018,0.0754594,1,1
-3.39259,0.391178,1,1
-1.60931,0.102779,1,1
1.72582,-0.110591,1,0
1.63795,0.662619,0.423953,0
0.752386,-0.562549,1,0
-0.214052,-0.925449,0.624306,0
0.0460363,1.65094,0.945743,1
-0.442557,-0.071097,0.723172,1
1.45953,-0.87085,1,0
3.22579,-0.368912,1,0
1.00121,-0.0938002,1,0
-2.04816,0.434253,1,1
-1.86027,0.267582,1,1
-0.698435,-1.53024,0.373229,0
0.0184778,0.16631,0.80001,1
0.270693,1.2617,0.646706,1
0.172472,-1.57337,1,0
-1.53068,-0.426343,0.564294,1
-2.79161,0.187967,1,1
-0.53911,0.252549,1,1
2.44966,-0.228824,1,0
2.25587,-0.593464,1,0
0.233095,-1.45445,1,0
0.259663,1.19304,0.642511,1
-0.158224,0.342001,1,1
-0.24787,-1.52083,0.719715,0
1.5668,0.330374,0.651719,0
2.29357,-0.386237,1,0
0.22209,0.0403572,0.692454,0
-2.79144,0.273998,1,1
-2.4562,-0.343196,0.754807,1
-0.0620215,-0.213476,0.549749,0
0.0245595,1.45935,0.966899,1
0.199357,-0.922128,1,0
-0.114684,-0.702958,0.719476,0
-1.15619,1.16324,1,1
-2.0051,0.554001,1,1
0.384686,-0.0798939,1,0
3.01372,-0.507028,1,0
2.24103,-0.461458,1,0
-0.143007,1.14985,1,1
0.0892501,1.34762,0.875772,1
-0.400411,-1.6792,0.614918,0
0.0455443,0.499636,0.83292,1
0.906639,1.13647,0.11249,1
1.74934,-0.241056,1,0
-0.96055,0.179881,1,1
-3.18352,0.239077,1,1
-2.14858,0.451517,1,1
0.44664,0.732616,0.242505,1
0.483731,0.14001,0.551064,0
0.0979537,-1.41808,1,0
0.193044,1.44551,0.764373,1
-0.55842,0.351017,1,1
-1.72294,-0.193857,0.797728,1
1.56119,-0.080145,1,0
3.18607,-0.436915,1,0
1.78101,-0.0761571,1,0
-0.832689,0.885811,1,1
-0.811101,-1.19422,0.19105,0
-0.240276,-0.363322,0.203855,0
0.139664,1.62999,0.842157,1
0.227613,-0.853007,1,0
1.30875,-1.16587,1,0
-2.0501,0.0126571,1,1
-3.06663,0.561526,1,1
-1.32128,0.283773,1,1
1.472,-0.644831,1,0
0.613489,-1.69287,1,0
0.259468,0.530815,0.343355,1
0.232303,0.98781,0.619211,1
-0.258737,-1.71298,0.737552,0
-0.762717,0.227993,1,1
2.24799,-0.340795,1,0
2.92822,-0.357852,1,0
0.86483,-0.048145,1,0
-2.0206,-0.106106,0.900215,1
-0.797336,-0.930045,0.0768264,0
-0.228027,1.40802,1,1
-0.109865,-0.305759,0.471325,0
-0.00260594,-1.22692,0.995761,0
0.458491,0.492875,0.036142,1
-2.3089,0.448269,1,1
-2.88977,0.329457,1,1
-0.311187,-0.0797314,0.592081,1
2.532,-0.850581,1,0
0.706886,0.519961,0.152363,0
