goertzel_f0,goertzel_f1,matched_corr_f0,matched_corr_f1,iq_mag_f0,iq_mag_f1,final_bit,confidence
0.0181309,0.0111241,0.00191504,0.00349972,0.00689671,0.00493459,1,0.67
0.273884,0.0585358,-0.331653,-0.00370313,0.648118,0.092663,1,0.67
0.300771,0.0457297,0.0752899,-0.0304177,1.63037,0.122735,0,1
0.256509,0.0953211,0.336324,-0.00917958,0.337151,0.021491,0,1
0.375849,0.112099,0.982415,0.296342,1.0795,0.322076,0,1
0.245889,0.181909,-0.361865,0.0254366,0.508184,0.191475,1,0.67
0.300175,0.433026,-0.224717,0.133337,0.288773,0.326867,1,1
0.156157,0.212698,-0.338623,0.14533,0.468253,0.145425,1,0.67
0.0468646,0.128689,-0.101161,0.146654,0.138569,0.188027,1,1
0.20706,0.350329,0.100982,0.181261,0.12134,0.297779,1,1
0.728635,0.434173,-0.150683,-0.175965,1.38388,0.306629,0,1
0.268252,0.0626092,1.70759,0.479518,2.80218,0.480054,0,1
1.35424,0.272974,-0.919699,-0.022207,1.66667,0.0812079,1,0.67
0.991936,0.196091,-2.61655,-0.152416,2.70331,0.16749,1,0.67
1.05558,0.195379,-1.96877,0.0186305,2.14301,0.0709215,1,0.67
0.764329,0.139768,-1.77743,-0.0292354,1.91436,0.1022,1,0.67
0.380337,0.0380557,-0.0322964,0.156377,0.121549,0.179662,1,0.67
0.331947,0.30743,-0.565184,-0.513865,0.94528,0.556682,1,0.67
0.857833,0.620607,0.750589,0.0268653,1.14392,0.52453,0,1
0.318771,0.659432,0.981025,0.124623,0.985427,0.954517,0,0.67
0.739976,0.667002,0.0623055,0.152764,0.826825,1.01614,1,0.67
0.704664,0.531447,-0.228571,0.048617,0.793559,0.742196,1,0.67
0.778882,0.568112,-1.24577,-0.176847,1.35138,0.807836,1,0.67
1.51251,0.217855,-1.48307,0.233019,1.926,0.53867,1,0.67
1.91522,0.196477,-2.91995,-0.265956,3.05456,0.443477,1,0.67
0.958489,0.391333,-2.35653,-0.480027,2.36652,0.487284,1,0.67
0.709177,0.470613,-1.44173,-0.520737,1.5738,0.542404,1,0.67
0.522367,0.240579,-1.37439,-0.388642,1.46405,0.392163,1,0.67
0.273778,0.258236,-0.115236,-0.214807,0.151591,0.228792,0,0.67
0.423374,0.1626,0.231918,-0.435308,0.685492,0.53833,0,1
0.811314,0.280219,1.54929,-0.0154835,1.56017,0.332134,0,1
0.398795,0.640526,1.06752,0.291836,1.11939,0.86915,0,0.67
0.873027,0.737841,-0.130704,0.465808,1.11039,0.980604,1,0.67
0.672163,0.657658,-0.414583,0.304363,0.799616,0.874936,1,0.67
0.652753,0.8701,-1.43289,0.225009,1.44161,0.973351,1,0.67
1.08439,0.723223,-1.86282,0.246363,1.8632,0.668558,1,0.67
1.34226,0.700726,-2.47054,-0.03237,2.66029,0.72572,1,0.67
0.81392,0.635797,-1.65074,-0.450601,2.04341,0.655559,1,0.67
0.945675,0.411573,-0.272779,-0.470275,1.64111,0.638366,0,1
0.673087,0.367882,-0.138341,-0.184617,1.0994,0.334051,0,1
0.238369,0.134594,0.59258,-0.154758,0.657633,0.188816,0,1
0.534611,0.139305,1.05699,0.0315082,1.10394,0.327797,0,1
0.821963,0.186808,1.50545,0.191402,1.62464,0.191587,0,1
0.386733,0.380768,0.958587,0.758399,1.14769,0.788098,0,1
0.815643,0.499035,-0.534635,0.811507,1.09612,0.830574,1,0.67
0.608673,0.375224,-0.707562,0.491038,0.821784,0.55096,1,0.67
0.534434,0.701631,-1.00308,0.550215,1.20875,0.717682,1,0.67
1.21533,0.748941,-1.76018,0.232825,1.92446,0.329097,1,0.67
1.47203,0.909432,-1.54006,0.287012,2.63989,0.693048,1,0.67
1.13492,0.741283,-0.875871,-0.256652,2.10505,0.570182,1,0.67
1.21922,0.520218,0.611639,-0.327468,1.88235,0.626658,0,1
0.944633,0.495908,0.680484,-0.0468807,1.46922,0.304346,0,1
0.368291,0.114841,0.581171,-0.135746,0.584113,0.15854,0,1
0.697419,0.249048,1.36282,0.226594,1.36411,0.331054,0,1
1.02889,0.418849,0.971539,0.0875299,1.7241,0.189592,0,1
0.593297,0.395345,0.414465,0.646953,1.15688,0.670673,1,0.67
0.627539,0.393675,-0.742927,0.782292,0.925513,0.818304,1,0.67
0.458603,0.27649,-0.68565,0.620411,0.704772,0.62066,1,0.67
0.476504,0.540723,-0.477896,0.778843,1.06947,0.785896,1,0.67
1.4583,0.780094,-1.32859,0.266281,1.93465,0.266447,1,0.67
1.88853,1.022,-0.394629,0.665355,2.78166,0.809722,1,0.67
1.27248,0.900204,0.265882,0.130515,2.09539,0.596246,0,1
1.04264,0.633771,1.31412,0.0804179,1.74788,0.674327,0,1
0.630539,0.519577,1.13875,0.19628,1.3386,0.418451,0,1
0.273207,0.133952,0.537845,-0.0511496,0.582483,0.203899,0,1
0.908347,0.285169,1.29403,0.457814,1.44141,0.501925,0,1
1.3754,0.550411,0.239559,0.0157323,1.90824,0.241805,0,1
0.705857,0.58017,-0.0779639,0.560994,1.32274,0.749327,1,0.67
0.537131,0.506267,-0.809027,0.573445,0.855098,0.871907,1,0.67
0.310815,0.329577,-0.632411,0.464297,0.64029,0.60726,1,0.67
0.524865,0.332582,0.0951321,0.707901,0.93243,0.779905,1,0.67
1.56254,0.578142,-0.322444,0.191545,1.53279,0.302078,1,0.67
1.97724,0.805053,1.19825,0.802506,2.76058,0.813249,0,1
1.13629,0.756447,1.30053,0.375945,2.10979,0.600389,0,1
0.777026,0.615874,1.54772,0.33808,1.58696,0.676305,0,1
0.504232,0.463066,1.33544,0.383643,1.34406,0.45892,0,1
0.266933,0.173763,0.369627,0.0774134,0.544947,0.196576,0,1
0.922604,0.365223,0.972934,0.551333,1.37257,0.551791,0,1
1.52909,0.624878,-0.749414,-0.0614404,2.00862,0.30539,1,0.67
0.714911,0.740088,-0.657996,0.248438,1.30617,0.789879,1,0.67
0.314531,0.70644,-0.737684,0.197919,0.743591,0.947536,1,1
0.275915,0.479794,-0.412276,0.201345,0.456685,0.680548,1,1
0.486036,0.405229,0.735383,0.480968,0.999605,0.78811,0,1
1.33925,0.274872,0.451411,0.0536957,1.3354,0.400302,0,1
1.90575,0.463462,2.18506,0.673872,2.78721,0.714824,0,1
1.04899,0.572404,1.9027,0.520911,2.11799,0.577979,0,1
0.640699,0.509722,1.61071,0.599192,1.65768,0.688213,0,1
0.473583,0.318613,1.332,0.47172,1.39091,0.474253,0,1
0.377793,0.119184,0.106582,0.123469,0.662505,0.138675,1,0.67
0.864607,0.390843,0.301437,0.429548,1.20762,0.473951,1,0.67
1.46611,0.580847,-1.51633,-0.198525,2.1152,0.380377,1,0.67
0.627403,0.792426,-1.10615,-0.141801,1.35635,0.825054,1,0.67
0.287105,0.845617,-0.575714,-0.270222,0.707505,0.968649,1,1
0.31402,0.585483,-0.174277,-0.133627,0.385707,0.694389,1,1
0.465068,0.582508,0.984445,0.126782,1.02496,0.755074,0,0.67
1.12056,0.279418,1.18035,-0.0641463,1.37251,0.438254,0,1
1.60125,0.324531,2.82917,0.503913,2.87183,0.695468,0,1
0.83839,0.390077,2.15006,0.615816,2.15291,0.616222,0,1
0.772974,0.359882,1.20697,0.679612,1.67017,0.680213,0,1
0.633721,0.329032,0.853841,0.428708,1.36113,0.457509,0,1
0.422172,0.120554,-0.229382,0.152269,0.7245,0.160133,1,0.67
0.68212,0.30638,-0.407255,0.260379,1.1432,0.41884,1,0.67
1.21913,0.410866,-1.93136,-0.232853,2.04414,0.320406,1,0.67
0.532056,0.674198,-1.34116,-0.482934,1.36717,0.801235,1,0.67
0.36737,0.786954,-0.32205,-0.626939,0.554187,0.925043,0,0.67
0.300044,0.528087,0.0320114,-0.371003,0.266505,0.65694,0,0.67
0.375884,0.708374,1.02054,-0.19411,1.06362,0.699796,0,0.67
1.00553,0.577834,1.57788,-0.125201,1.5829,0.384666,0,1
1.33372,0.639253,2.53809,0.118651,2.70034,0.657479,0,1
0.857775,0.482821,1.79347,0.479024,2.12506,0.572896,0,1
0.942516,0.365776,0.535551,0.601663,1.65335,0.683066,1,0.67
0.782903,0.468964,0.288581,0.280729,1.33776,0.442189,0,1
0.479614,0.17113,-0.536554,0.10567,0.735722,0.193044,1,0.67
0.538719,0.21421,-1.11067,-0.0737212,1.31313,0.413783,1,0.67
0.974343,0.230145,-1.96003,-0.272029,1.98329,0.281079,1,0.67
0.449134,0.487251,-1.25287,-0.721214,1.31746,0.785446,1,0.67
0.406339,0.6528,0.0535994,-0.866155,0.554735,0.901106,0,0.67
0.256431,0.46283,0.213671,-0.601575,0.296117,0.659324,0,0.67
0.439087,0.723894,0.689136,-0.571638,1.00658,0.730506,0,0.67
1.22053,0.74453,1.48631,-0.256131,1.72099,0.334449,0,1
1.49409,0.917116,1.71284,-0.289366,2.68438,0.699192,0,1
1.09093,0.762032,0.978706,0.215764,2.10331,0.55135,0,1
1.16977,0.560334,-0.430828,0.290941,1.68656,0.654268,1,0.67
0.816488,0.584447,-0.572044,-0.0142212,1.3839,0.44135,1,0.67
0.410587,0.156625,-0.699661,0.0258595,0.742022,0.20386,1,0.67
0.657505,0.17232,-1.52282,-0.330271,1.52825,0.47352,1,0.67
1.0473,0.329514,-1.48469,-0.184618,1.92741,0.213696,1,0.67
0.531979,0.386019,-0.917721,-0.74055,1.33676,0.747095,1,0.67
0.456432,0.452046,0.244792,-0.869422,0.518094,0.899664,0,0.67
0.22036,0.296097,0.341514,-0.60038,0.346247,0.604819,0,0.67
0.480101,0.532677,0.234538,-0.706303,1.0099,0.712058,0,0.67
1.52464,0.752185,1.06544,-0.241957,1.71732,0.242863,0,1
1.88953,0.991247,0.372037,-0.63575,2.74249,0.773744,0,1
1.23179,0.842957,-0.121571,-0.10165,2.14869,0.55625,1,0.67
1.03942,0.605427,-1.16512,-0.040176,1.71125,0.670151,1,0.67
0.706623,0.565241,-1.12304,-0.20884,1.41819,0.447069,1,0.67
0.342437,0.181333,-0.671435,-0.0290732,0.686256,0.208371,1,0.67
0.848638,0.26656,-1.52315,-0.510314,1.60509,0.555285,1,0.67
