correlation_f0,correlation_f1,confidence,bit
0.0183611,0.00652801,0.475433,0
-0.0078242,-0.00371375,0.356255,1
-0.0227449,-0.0132352,0.264304,1
-0.00420587,-0.00250019,0.254348,1
0.0341057,0.0167055,0.342448,0
0.0189052,0.00708816,0.454618,0
0.00164011,0.00112778,0.185096,0
-0.00721699,-0.00111671,0.732001,1
-0.0190844,-0.00735833,0.443451,1
0.00590386,0.00754458,0.122001,1
0.00640774,0.000494251,0.85678,0
-0.0119354,-0.00704041,0.257961,1
-0.0219701,-0.0103932,0.357715,1
-0.00415618,0.00115695,1,1
0.0248919,0.0030589,0.781122,0
0.0125255,0.00519185,0.413924,0
-0.0141937,-0.00631551,0.38413,1
-0.0382894,-0.0159,0.413171,1
0.00169506,0.00390671,0.394813,1
0.0217076,0.0111167,0.322655,0
0.0193089,0.00356901,0.687995,0
-0.0204023,-0.0128935,0.225518,1
-0.0313083,-0.0113816,0.466778,1
-0.00742366,-0.00361532,0.34499,1
0.0333615,0.0124704,0.455821,0
0.0026862,0.00635535,0.405811,1
0.00169725,0.00134165,0.117017,0
-0.0225828,-0.00890073,0.434578,1
0.0207213,0.0094397,0.374047,0
0.0071527,0.00229877,0.513564,0
0.0180505,0.00999052,0.287435,0
-0.0397409,-0.0174491,0.389785,1
0.00316218,0.000656756,0.656053,0
-0.00809513,-0.00288533,0.474461,1
0.0515812,0.0252203,0.343233,0
-0.0250687,-0.0137797,0.290592,1
0.0083612,0.00521305,0.23192,0
-0.0293403,-0.0137726,0.361091,1
0.0365527,0.013952,0.447496,0
-0.00388533,-0.0028602,0.151972,1
0.01957,0.00798926,0.420211,0
-0.0428214,-0.0238778,0.284014,1
0.0134692,0.00628318,0.363806,0
-0.000731138,-0.00563595,0.770339,0
0.0428317,0.0148241,0.485772,0
-0.0258276,-0.0103911,0.426202,1
-0.00840079,-0.00271251,0.511845,1
-0.0245081,-0.00777367,0.518386,1
0.0284208,0.0142396,0.332421,0
0.00114071,0.00203163,0.28084,1
-0.00421511,-0.00112734,0.577968,1
-0.0333861,-0.0156241,0.362414,1
0.00170661,0.00199303,0.0774168,1
0.0268071,0.0106955,0.429612,0
0.028191,0.0148987,0.308479,0
-0.0256221,-0.0140158,0.292807,1
-0.0194828,-0.00771741,0.432547,1
0.000379687,-0.00163709,1,0
0.0388746,0.0164471,0.405402,0
0.0169956,0.00751465,0.386815,0
-0.0204854,-0.0105844,0.318669,1
-0.0186208,-0.00790198,0.404137,1
0.00702631,0.000726054,0.812688,0
0.0187065,0.01636,0.0669149,0
0.0147249,0.0056125,0.448061,0
