correlation_f0,correlation_f1,confidence,bit
-0.0131176,-0.00766243,0.262521,1
-0.0199093,-0.00586933,0.544636,1
0.0200487,0.00636614,0.517988,0
0.00823327,-0.00281032,1,0
0.00322142,0.0039559,0.102332,1
-0.0424847,-0.0173519,0.420024,1
-0.0122609,-0.00246957,0.664699,1
-0.0164485,-0.00145459,0.837504,1
0.042372,0.0237823,0.281004,0
0.0215639,0.00450345,0.654476,0
-0.025997,-0.0153815,0.256548,1
-0.009274,-0.0057248,0.236632,1
0.0190426,0.000226994,0.97644,0
0.0150954,0.013482,0.0564559,0
0.00326351,-0.000665668,1,0
0.00355072,0.00106542,0.538394,0
-0.00298598,0.000916934,1,1
0.0270383,0.00663373,0.60598,0
0.00539567,0.00246405,0.372992,0
0.0091406,0.00550634,0.248124,0
-0.0184654,-0.0121033,0.208123,1
-0.019006,-0.00570974,0.537967,1
-0.00734447,-0.00482769,0.206766,1
0.0109317,0.00303128,0.565812,0
0.0130706,-0.00143424,1,0
-0.0275928,-0.0133023,0.349444,1
0.00776435,0.000685293,0.837794,0
0.0159188,0.0054215,0.4919,0
0.0118106,0.00840345,0.168555,0
0.00497067,0.000319734,0.879127,0
-0.00846742,-0.00733235,0.071841,1
-0.00712988,-0.00975772,0.155608,0
0.0262953,0.0144382,0.291092,0
0.0170419,0.00891185,0.31325,0
-0.0135602,-0.00619092,0.373108,1
-0.0195172,-0.00985937,0.32876,1
0.019521,0.00556061,0.556599,0
0.0244751,0.00899245,0.462617,0
0.0119394,0.00881352,0.150624,0
-0.00999114,-0.00598463,0.250787,1
-0.0166415,-0.00698026,0.408997,1
0.0135662,0.00774728,0.273015,0
0.0249326,0.0152271,0.241674,0
0.0218778,0.00623802,0.556262,0
-0.0297209,-0.0150207,0.328558,1
-0.032158,-0.0177174,0.289535,1
0.0170308,0.00609612,0.472812,0
0.024666,0.00645442,0.585197,0
0.0203663,0.0122073,0.250477,0
-0.00828598,-0.00691353,0.0902957,1
-0.0277436,-0.0174286,0.22835,1
0.0248729,0.0104807,0.407093,0
-0.00275424,0.00115605,1,1
0.0133466,0.00857069,0.217907,0
-0.027249,-0.0112336,0.416172,1
-0.00455556,0.00287273,1,1
-0.0111133,0.000675403,1,1
0.0424631,0.0107069,0.597257,0
-0.0348907,-0.00770638,0.638173,1
0.000352906,0.000569117,0.234496,1
-0.0299318,-0.011167,0.456577,1
0.0242165,0.0095926,0.432543,0
0.00552483,0.00307705,0.284563,0
-0.0031481,-0.00563178,0.282884,0
-0.0437499,-0.0222469,0.325819,1
0.0047923,0.00112294,0.620322,0
6.16683e-05,-0.0016057,1,0
0.0318462,0.0166293,0.313907,0
0.00307836,0.00107792,0.481304,0
-0.00374818,-0.00365235,0.0129502,1
0.00933336,0.00137017,0.743979,0
0.027404,0.0125487,0.371822,0
0.00113957,0.000348088,0.532032,0
-0.020937,-0.00411516,0.671472,1
-0.0380926,-0.0182217,0.352857,1
-0.301606,-0.0342172,0.796219,1
0.19372,0.0177779,0.831885,0
0.0679795,0.0103222,0.736347,0
0.141719,0.159028,0.057555,1
-0.178479,0.0374824,1,1
0.0661898,-0.0100428,1,0
0.0883761,0.139866,0.225592,1
0.044251,0.0511291,0.0721122,1
-0.194898,-0.0557159,0.555365,1
-0.0937684,-0.0100257,0.806816,1
0.543514,0.180319,0.501766,0
-0.542876,0.0168025,1,1
-0.543667,0.0334011,1,1
-0.571138,-0.312797,0.292262,1
0.161719,-0.00189397,1,0
-0.173619,0.0412193,1,1
-0.260339,0.272894,1,1
-0.855418,0.0534617,1,1
-0.433786,0.057052,1,1
-0.436515,-0.175693,0.426036,1
0.187938,0.018817,0.817978,0
-0.143561,0.10264,1,1
-0.331976,0.274685,1,1
-0.877034,0.101567,1,1
-0.484836,0.0501669,1,1
-0.213824,-0.0936984,0.390624,1
0.223675,0.0609491,0.571722,0
-0.10126,0.162888,1,1
-0.532963,0.307719,1,1
-0.817425,0.193606,1,1
-0.486932,0.100343,1,1
-0.0486801,0.000807197,1,1
0.217416,0.137123,0.226472,0
-0.0361539,0.269791,1,1
-0.621379,0.333205,1,1
-0.760738,0.25592,1,1
-0.529256,0.126831,1,1
0.113693,0.0876656,0.12926,0
0.221644,0.150579,0.19092,0
0.0642604,0.325492,0.67025,1
-0.69736,0.311367,1,1
-0.626654,0.306597,1,1
-0.57414,0.127038,1,1
0.234335,0.181825,0.126177,0
0.227085,0.213911,0.0298745,0
0.0994529,0.369731,0.57606,1
-0.705033,0.297444,1,1
-0.596551,0.295776,1,1
-0.53739,0.133785,1,1
0.355779,0.27116,0.134973,0
0.15272,0.23514,0.2125,1
0.151949,0.39324,0.442582,1
-0.715012,0.240184,1,1
-0.415188,0.305562,1,1
-0.455516,0.149876,1,1
0.411267,0.299831,0.15671,0
0.0769572,0.212608,0.468464,1
0.163804,0.360922,0.375658,1
-0.660536,0.149374,1,1
-0.196448,0.279777,1,1
-0.376324,0.117907,1,1
0.459872,0.333532,0.159238,0
-0.00407778,0.194936,1,1
0.203812,0.333766,0.24174,1
-0.526163,0.0825058,1,1
0.0381521,0.244932,0.730454,1
-0.247114,0.0979852,1,1
0.482155,0.347938,0.161689,0
-0.0662815,0.166259,1,1
0.280054,0.288655,0.0151242,1
-0.38612,-0.00649751,0.966902,1
0.228964,0.190291,0.092242,0
-0.132079,0.0817443,1,1
0.514174,0.354877,0.183301,0
-0.12271,0.14536,1,1
0.285446,0.216996,0.136234,0
-0.280091,-0.112972,0.42517,1
0.426266,0.114771,0.575736,0
0.0196094,0.0367983,0.304727,1
0.515832,0.330823,0.218519,0
-0.180948,0.0693199,1,1
0.264681,0.125265,0.357527,0
-0.0709836,-0.189117,0.454182,0
0.648344,0.0639676,0.820394,0
0.184707,0.0110488,0.887117,0
0.45136,0.26286,0.263924,0
-0.217849,0.00530098,1,1
0.245679,0.00985418,0.922874,0
0.165929,-0.24636,1,0
0.809515,-0.0148812,1,0
0.325102,-0.0465346,1,0
0.361291,0.173617,0.350853,0
-0.242345,-0.0663741,0.570003,1
0.251972,-0.0848133,1,0
0.377554,-0.29612,1,0
0.857086,-0.112988,1,0
0.399379,-0.0953333,1,0
0.212722,0.0799256,0.453776,0
-0.21302,-0.102304,0.351119,1
