goertzel_f0,goertzel_f1,matched_corr_f0,matched_corr_f1,iq_mag_f0,iq_mag_f1,final_bit,confidence
0.0210141,0.0109024,0.00117859,0.00419123,0.00316754,0.00419281,1,0.67
0.00867393,0.00253386,0.018919,0.0105848,0.0194012,0.0116978,0,1
0.0194073,0.0108369,0.012249,0.00372439,0.0124614,0.00395468,0,1
0.00995086,0.00513833,-0.0200302,-0.0160982,0.0200303,0.0163186,1,0.67
0.0329766,0.0190511,-0.00071691,-0.00316134,0.00530575,0.00516211,0,1
0.0163103,0.010938,0.0205449,0.0099081,0.0208558,0.0106953,0,1
0.0131795,0.00517602,0.0237387,0.00893896,0.0242933,0.0109742,0,1
0.0405488,0.021456,0.0105612,0.00836941,0.0106244,0.00910164,0,1
0.0194827,0.0104956,-0.0273843,-0.0119875,0.0273904,0.0125221,1,0.67
0.0102881,0.00990582,-0.0172951,-0.00750466,0.0187072,0.00813696,1,0.67
0.0158555,0.00752069,0.0237806,0.00884748,0.0243809,0.00928158,0,1
0.0151065,0.00977826,0.0194594,0.00657499,0.0194873,0.00676135,0,1
0.0200144,0.0117536,-0.0207871,-0.00959997,0.0211366,0.0097485,1,0.67
0.00822814,0.00513649,-0.0118346,-0.00540873,0.0118671,0.00565137,1,0.67
0.0400937,0.0181432,-0.0166818,-0.0126302,0.0178181,0.014499,1,0.67
0.0273029,0.0110129,0.0376332,0.017048,0.03784,0.0171048,0,1
0.00920545,0.00692596,0.0165959,0.00529205,0.0217598,0.00559481,0,1
0.0182506,0.0101668,-0.00114878,-0.00140373,0.00141408,0.00158368,0,0.67
0.0114601,0.00368839,-0.0217049,-0.0168222,0.021714,0.0185751,1,0.67
0.031398,0.019778,0.0144766,0.00123248,0.0151197,0.0014303,0,1
0.0269021,0.014795,0.000976614,0.00516004,0.00956289,0.00589544,1,0.67
0.00425666,0.00226579,0.0273159,0.0128195,0.0273895,0.014672,0,1
0.00992299,0.011185,-0.0198076,-0.00839977,0.0215896,0.00931048,1,0.67
0.0175312,0.00812387,-0.0111905,-0.00185758,0.0118366,0.00452144,1,0.67
0.0320041,0.0146003,-0.0114016,0.000172598,0.0123688,0.00316346,1,0.67
0.00367582,0.0040034,0.0355945,0.0158171,0.035757,0.0174384,0,0.67
0.0352271,0.0158943,-0.0156906,-0.00741312,0.0159848,0.00749555,1,0.67
0.0223268,0.0149197,0.00930161,0.00546422,0.00960757,0.00553765,0,1
0.0148318,0.0124008,-0.0257828,-0.0136463,0.0261522,0.0150818,1,0.67
0.00401829,0.00263984,0.00852064,0.00712217,0.0137985,0.00712868,0,1
0.0266873,0.0145899,0.023384,0.00843739,0.0237101,0.00858519,0,1
0.0413346,0.0262622,0.00677638,0.00389602,0.0103365,0.00565617,0,1
0.0193534,0.0103554,-0.0320099,-0.0160487,0.0321595,0.0161779,1,0.67
0.0104766,0.00406527,-0.00924305,0.00202805,0.0202801,0.00669798,1,0.67
0.00652626,0.00718302,0.00731254,0.00346519,0.00732722,0.00569925,0,0.67
0.0262901,0.00648647,0.0284263,0.0135412,0.0325458,0.0149088,0,1
0.0320381,0.0172831,0.0132365,-0.00235458,0.0211311,0.00687135,0,1
0.0221356,0.0137772,-0.0189192,-0.00997817,0.0193586,0.0115815,1,0.67
0.00332302,0.00595773,-0.00396154,-0.00172166,0.00598983,0.00303369,1,0.67
0.00656143,0.0051236,0.0226224,0.00398439,0.0226584,0.00403125,0,1
0.0283843,0.0179709,0.0205764,0.00585148,0.0213922,0.0063921,0,1
0.0333794,0.0188778,-0.0031876,-0.00223178,0.00742666,0.00225195,1,0.67
0.0127024,0.00479373,-0.0263237,-0.0130019,0.0263646,0.0130189,1,0.67
0.0200208,0.013675,-0.011622,-0.00301948,0.0176581,0.00359327,1,0.67
0.00961056,0.0068201,0.0312568,0.00712867,0.0323186,0.00870722,0,1
0.0215821,0.00724153,0.018505,0.00590206,0.0185477,0.00621139,0,1
0.0260752,0.0158624,0.00767648,-0.00110159,0.0165588,0.00343158,0,1
0.0177632,0.00779344,-0.0143585,-0.00742788,0.0217949,0.00799769,1,0.67
0.0159805,0.00610038,0.0100069,0.00368711,0.0148987,0.00496573,0,1
0.00576168,0.00669778,0.00916716,0.00567434,0.0118712,0.00568028,0,0.67
0.0346193,0.0134905,0.0141771,0.0160521,0.0203959,0.0176512,1,0.67
0.0386168,0.0164107,-0.031888,-0.0148674,0.0326582,0.0151141,1,0.67
0.0124832,0.00811332,-0.033197,-0.00963896,0.0332031,0.0102932,1,0.67
0.040118,0.0183085,-0.0108631,-0.00434594,0.010897,0.00768957,1,0.67
0.0192993,0.00704612,0.0229275,0.0129019,0.0255107,0.0132239,0,1
0.0102536,0.00604713,0.0051892,0.00276827,0.00523277,0.00280698,0,1
0.0173391,0.00793044,-0.00478557,-0.000508475,0.00856653,0.00161787,1,0.67
0.00876506,0.00627203,-0.0298388,-0.0151737,0.031968,0.0157927,1,0.67
0.039178,0.0225879,0.0044894,0.00219437,0.00552263,0.00229825,0,1
0.0137949,0.0129996,0.00912694,0.00602241,0.00913579,0.00782915,0,1
0.0149426,0.00535843,0.0183413,0.0114939,0.0187365,0.0138238,0,1
0.00487164,0.00198215,-0.0264051,-0.0124975,0.026702,0.0125511,1,0.67
