f0_energy,f1_energy,bit
0.0217736,0.0168414,0
0.026144,0.0138957,0
0.0400287,0.019315,0
0.00286117,0.00210976,0
0.0100637,0.00114428,0
0.0318979,0.0178076,0
0.0305015,0.0258968,0
0.0388813,0.0180536,0
0.00343774,0.00272098,0
0.0111129,0.0034855,0
0.00676802,0.00033271,0
0.00976284,0.00402665,0
0.0197364,0.00921104,0
0.0112427,0.00935534,0
0.029254,0.0136996,0
0.0381216,0.0234303,0
0.0256331,0.0145983,0
0.0228639,0.011276,0
0.0280235,0.0112528,0
0.0386984,0.017304,0
0.0186442,0.00659271,0
0.0161452,0.00895774,0
0.0249415,0.0117495,0
0.0513366,0.0267003,0
0.0488903,0.0301678,0
0.0183494,0.013834,0
0.00694512,0.00706479,1
0.00423447,0.00220411,0
0.0265921,0.0131424,0
0.00614836,0.0042413,0
0.0124441,0.00927242,0
0.00740945,0.00370835,0
0.0387437,0.0196443,0
0.022079,0.0127084,0
0.0198247,0.00647959,0
0.00761877,0.00204212,0
0.0110374,0.00254365,0
0.0138101,0.00529858,0
0.00789336,0.0116434,1
0.0446883,0.0260914,0
0.0367005,0.0232406,0
0.00877797,0.00344788,0
0.0139407,0.0131157,0
0.0285513,0.0158035,0
0.0140837,0.00343487,0
0.00715837,0.00290734,0
0.00981657,0.00344621,0
0.01297,0.00660823,0
0.0450765,0.0185044,0
0.0216109,0.0199497,0
0.0139106,0.0100303,0
0.0118594,0.00334741,0
0.0103351,0.00260172,0
0.0140452,0.0104664,0
0.00769221,0.00166432,0
0.00681404,0.00512228,0
0.0100349,0.00422592,0
0.0180837,0.00799033,0
0.00707957,0.00113326,0
0.00272798,0.000894642,0
0.0218018,0.00725251,0
0.00884205,0.0113548,1
0.0075169,0.00395132,0
0.0151641,0.00625711,0
0.0328066,0.01491,0
0.0204576,0.0119127,0
0.0147481,0.00418431,0
0.00811845,0.00422258,0
0.0186907,0.0123927,0
0.00492461,0.0104945,1
0.00944573,0.0111723,1
0.0159636,0.00897381,0
0.0232877,0.0105563,0
0.0331622,0.0109735,0
0.329061,0.0777881,0
0.380751,0.0729592,0
0.615891,0.0833725,0
0.607311,0.181132,0
0.157892,0.294612,1
0.311004,0.418745,1
0.205361,0.313233,1
0.0856011,0.302209,1
0.0209498,0.436524,1
0.779699,0.327587,0
0.451134,0.118094,0
1.72932,0.473237,0
1.51001,0.433058,0
1.80375,1.21022,0
0.466931,0.353109,0
1.16803,0.255617,0
1.14799,0.870107,0
1.56576,1.40257,0
0.928714,0.620879,0
1.01047,0.402654,0
1.3851,1.05783,0
1.49697,1.2014,0
1.14903,0.50516,0
1.02726,0.411451,0
1.6652,1.03434,0
1.61345,1.17474,0
1.22267,0.535725,0
0.904445,0.444679,0
1.522,1.07359,0
1.53312,1.18438,0
1.17614,0.517415,0
0.879127,0.597232,0
1.728,1.28487,0
1.57047,1.12085,0
1.10186,0.63972,0
0.833067,0.690229,0
1.71287,1.27711,0
1.69998,1.15246,0
1.05134,0.765859,0
0.7472,0.832218,1
1.61367,1.1736,0
1.56077,1.01896,0
1.06405,0.72517,0
0.823275,0.86399,1
1.47621,1.00483,0
1.43122,0.894487,0
1.05892,0.583904,0
0.873381,0.799778,0
1.34867,0.945629,0
1.30894,0.742233,0
1.15661,0.603147,0
0.987111,0.78162,0
1.30484,0.842337,0
1.27792,0.672544,0
1.30283,0.527146,0
1.2249,0.763435,0
1.21146,0.696553,0
1.20517,0.570308,0
1.36114,0.454234,0
1.26946,0.736809,0
1.13362,0.60149,0
1.12599,0.580157,0
1.38618,0.408586,0
1.28231,0.641992,0
0.996291,0.507496,0
1.13617,0.629574,0
1.46816,0.335633,0
1.25183,0.544463,0
