f0_energy,f1_energy,bit
0.037744,0.020956,0
0.0444948,0.0205316,0
0.00501039,0.00217828,0
0.0131049,0.00412431,0
0.0138716,0.00473291,0
0.0377004,0.021644,0
0.0191919,0.0162897,0
0.00960403,0.00655873,0
0.0131352,0.00898897,0
0.03356,0.0174521,0
0.0199937,0.00893313,0
0.00420233,0.0026586,0
0.014528,0.00787103,0
0.00140031,0.00850675,1
0.0208746,0.012944,0
0.0101523,0.00824286,0
0.0496648,0.0215264,0
0.0342612,0.0137013,0
0.00881768,0.00168351,0
0.021625,0.00726056,0
0.00926689,0.00594269,0
0.0305534,0.00927385,0
0.00999107,0.00666105,0
0.0147948,0.00712974,0
0.0268885,0.0117042,0
0.00730879,0.00543139,0
0.0285126,0.0113375,0
0.0220269,0.00715986,0
0.0476363,0.0252289,0
0.0242252,0.00800459,0
0.0243141,0.0085104,0
0.0122441,0.00779408,0
0.0271855,0.0182101,0
0.0376672,0.0240983,0
0.00833126,0.00394275,0
0.0214875,0.00788256,0
0.00638046,0.00325011,0
0.0287843,0.0140201,0
0.0203036,0.0167524,0
0.00826306,0.00560088,0
0.00738327,0.00559246,0
0.00609474,0.00266684,0
0.022418,0.0188452,0
0.0129581,0.0080233,0
0.00314166,0.00505175,1
0.0231002,0.0124606,0
0.0119689,0.00368544,0
0.0127957,0.00520222,0
0.0318375,0.00507993,0
0.0336369,0.018967,0
0.000625958,0.00413922,1
0.0165285,0.00679107,0
0.0103596,0.00657279,0
0.0347261,0.0247743,0
0.0585668,0.0270412,0
0.0156314,0.0108535,0
0.0152306,0.00186038,0
0.00639562,0.0056476,0
0.0403703,0.0284725,0
0.0490826,0.0290035,0
0.0151745,0.00238054,0
0.0210749,0.0140813,0
0.0139085,0.0106694,0
0.0564055,0.0323514,0
0.0232961,0.012992,0
0.0261471,0.0179428,0
0.0347155,0.0165672,0
0.0251039,0.00551823,0
0.0212037,0.0140462,0
0.0024451,0.00464198,1
0.0380075,0.021237,0
0.0124662,0.00616282,0
0.0320615,0.0204309,0
0.0441797,0.023739,0
0.338476,0.0732061,0
0.384277,0.0682223,0
0.615414,0.0698009,0
0.644855,0.199005,0
0.1431,0.307779,1
0.322298,0.403189,1
0.214381,0.293981,1
0.111402,0.279751,1
0.0217946,0.462409,1
0.839402,0.332637,0
0.468402,0.111859,0
0.93303,0.134766,0
1.24996,0.135296,0
1.01364,0.777925,0
0.782465,0.572177,0
0.670108,0.833881,1
0.622987,0.59609,0
1.04484,0.972499,0
0.722282,0.726308,1
0.718541,0.88103,1
0.988533,0.795164,0
0.780274,0.814429,1
0.8029,0.704558,0
0.701263,0.809935,1
0.895305,0.718843,0
0.777669,0.780599,1
0.961282,0.806762,0
0.772732,0.752879,0
0.776341,0.823904,1
0.768066,0.82601,1
0.798966,0.883987,1
0.697459,0.716707,1
0.985939,1.04689,1
0.812928,0.768274,0
1.00079,1.11005,1
0.932146,0.721118,0
0.998112,1.14603,1
0.943247,0.80872,0
1.1173,1.18741,1
1.16594,0.820539,0
0.884905,1.08267,1
1.01123,0.74277,0
1.10535,1.11426,1
1.02615,0.726941,0
0.906309,0.95293,1
1.02257,0.645069,0
0.973098,0.90983,0
1.0436,0.62841,0
1.03554,0.929082,0
0.940787,0.576147,0
1.04839,0.84223,0
0.971597,0.516492,0
1.08226,0.838578,0
1.02258,0.506197,0
1.13737,0.759584,0
1.11505,0.428143,0
1.03957,0.746108,0
1.10977,0.415784,0
1.17603,0.702198,0
0.97021,0.370989,0
1.15307,0.667231,0
0.955228,0.365241,0
1.16316,0.650671,0
0.86312,0.3363,0
1.05061,0.558602,0
0.942596,0.344107,0
1.11813,0.540383,0
0.882694,0.374483,0
1.0455,0.479559,0
0.856454,0.387667,0
1.03632,0.466963,0
0.820728,0.400493,0
1.02579,0.450398,0
0.781012,0.463152,0
0.937176,0.466527,0
0.816434,0.503895,0
0.978537,0.450907,0
0.811044,0.556367,0
0.995686,0.470342,0
0.832066,0.594648,0
0.968924,0.480164,0
0.810392,0.609533,0
0.972867,0.55558,0
0.856018,0.701677,0
0.924193,0.589986,0
0.850156,0.732159,0
0.94294,0.666002,0
0.89493,0.822858,0
0.927821,0.723541,0
0.902937,0.813236,0
0.914398,0.745735,0
0.947201,0.860052,0
0.943446,0.82209,0
0.951693,0.85647,0
0.923485,0.833595,0
1.02584,0.870134,0
0.968403,0.89156,0
1.06635,0.884058,0
0.967062,0.902748,0
1.02577,0.873814,0
0.991659,0.953599,0
1.14716,0.904489,0
1.01216,0.981847,0
1.1093,0.867561,0
1.04038,0.986349,0
1.19555,0.87773,0
1.11132,1.03929,0
1.21291,0.875274,0
1.1012,1.0314,0
1.21884,0.830646,0
1.15098,1.04849,0
1.23946,0.807671,0
1.15279,1.02135,0
1.22869,0.761036,0
1.17228,1.02753,0
1.2871,0.737525,0
1.22412,1.03771,0
1.26796,0.686542,0
1.19258,0.999357,0
1.24715,0.657296,0
1.26211,0.983964,0
1.24569,0.603719,0
1.22558,0.942779,0
1.19696,0.544191,0
1.28771,0.918348,0
1.21348,0.507806,0
1.23394,0.865176,0
1.1438,0.468064,0
1.26634,0.828199,0
1.14646,0.425395,0
1.24859,0.775473,0
1.07396,0.388381,0
1.22568,0.728047,0
1.09416,0.35194,0
1.29673,0.697463,0
1.05133,0.331696,0
1.20927,0.629691,0
0.990941,0.32947,0
1.22921,0.584482,0
0.997647,0.327336,0
1.18646,0.532737,0
0.946541,0.367747,0
1.18788,0.494389,0
0.940607,0.375483,0
1.16836,0.453932,0
0.883456,0.448703,0
1.12737,0.44709,0
0.88027,0.474148,0
1.12514,0.437272,0
0.831754,0.532323,0
1.07136,0.462223,0
0.828597,0.591609,0
1.06985,0.478111,0
0.819305,0.600606,0
1.03178,0.498038,0
0.815831,0.675188,0
1.01106,0.546828,0
0.803711,0.675819,0
1.00975,0.574667,0
0.815911,0.737667,0
0.969891,0.642518,0
0.8146,0.756587,0
0.953541,0.679355,0
0.85581,0.800527,0
0.94682,0.739808,0
0.883612,0.823008,0
0.946181,0.759568,0
0.87825,0.816607,0
0.946519,0.824463,0
0.945202,0.847684,0
0.949224,0.856694,0
0.940453,0.843477,0
0.949476,0.901109,0
1.02039,0.866539,0
0.986987,0.94999,0
1.03064,0.856383,0
0.983294,0.954531,0
1.07435,0.854478,0
1.04028,1.01061,0
1.11679,0.856589,0
1.0249,0.993135,0
1.11036,0.819475,0
1.09501,1.03315,0
1.18855,0.824741,0
1.124,1.03083,0
1.16353,0.769172,0
1.13277,1.01992,0
1.2137,0.753313,0
1.19742,1.04139,0
1.18741,0.709214,0
1.17703,0.994652,0
1.19466,0.668994,0
1.24704,1.00446,0
1.24289,0.641631,0
1.23,0.958292,0
1.18129,0.572617,0
1.25416,0.927346,0
1.19921,0.540197,0
1.25983,0.885177,0
1.1246,0.478422,0
1.25081,0.83497,0
1.16353,0.45079,0
1.27494,0.808428,0
1.07859,0.397364,0
1.20821,0.72898,0
1.08478,0.367534,0
1.27672,0.714594,0
1.05892,0.341422,0
1.24218,0.652201,0
0.998591,0.333964,0
1.2477,0.601582,0
1.02382,0.325504,0
1.22403,0.569049,0
0.964221,0.347629,0
1.22356,0.521579,0
0.951583,0.351112,0
1.22623,0.484887,0
0.89573,0.395142,0
1.14742,0.457831,0
0.855968,0.444338,0
1.17279,0.440757,0
0.838659,0.478387,0
1.10121,0.450131,0
0.836236,0.538157,0
1.09028,0.45003,0
0.817397,0.544725,0
1.08227,0.466455,0
0.803743,0.618053,0
1.04212,0.514966,0
0.80227,0.652831,0
