f0_energy,f1_energy,bit
0.0224884,0.0105092,0
0.0187567,0.00282362,0
0.00732695,0.00462601,0
0.00956777,0.00443755,0
0.00399033,0.00996278,1
0.0261234,0.0126743,0
0.0227415,0.0107818,0
0.0223609,0.00859469,0
0.00833182,0.00204207,0
0.0125825,0.00341381,0
0.0259812,0.0158917,0
0.0351406,0.0169507,0
0.00427265,0.00162768,0
0.019024,0.00927215,0
0.00833481,0.00530695,0
0.0468237,0.0298755,0
0.0366726,0.0251863,0
0.00624611,0.00646502,1
0.00947243,0.00363277,0
0.0337487,0.012983,0
0.0456678,0.0210834,0
0.0104045,0.00307712,0
0.00765564,0.0124279,1
0.00747138,0.0036549,0
0.0120815,0.0019645,0
0.00619393,0.00618938,0
0.0485659,0.0236167,0
0.0246077,0.0191661,0
0.00492772,0.00343303,0
0.0226147,0.00873447,0
0.00330007,0.000662533,0
0.016523,0.0111999,0
0.0248728,0.0111949,0
0.00807965,0.00495615,0
0.0155116,0.00875535,0
0.0244169,0.0135708,0
0.0247035,0.00622463,0
0.00426802,0.00261951,0
0.0162815,0.00322722,0
0.00145602,0.00502062,1
0.00608905,0.00571344,0
0.0121685,0.0129404,1
0.0346202,0.0259538,0
0.0156483,0.00401853,0
0.0173494,0.00838122,0
0.0117408,0.00311968,0
0.0284058,0.0128554,0
0.0270107,0.0101919,0
0.00122922,0.0032838,1
0.0119404,0.0107586,0
0.0334873,0.0209136,0
0.0289903,0.0151472,0
0.009564,0.00547177,0
0.0309279,0.00936803,0
0.0149817,0.00383828,0
0.0145511,0.00392899,0
0.0220908,0.0051562,0
0.0232912,0.00561673,0
0.00924829,0.00509286,0
0.0283701,0.0143941,0
0.0267079,0.0176761,0
0.0210976,0.00494451,0
0.00652726,0.00354474,0
0.00668497,0.00193792,0
0.0155503,0.00919289,0
0.0308595,0.0129528,0
0.0136161,0.00550645,0
0.0124082,0.00742663,0
0.00649475,0.0045288,0
0.0167163,0.00922438,0
0.00563254,0.0105281,1
0.0244057,0.0166025,0
0.00606404,0.00683141,1
0.00559578,0.00519426,0
0.325379,0.0745716,0
0.332588,0.0410132,0
0.685882,0.0978983,0
0.552132,0.124443,0
0.11531,0.191386,1
0.282482,0.461405,1
0.23442,0.306994,1
0.0664743,0.46086,1
0.0381392,0.283215,1
0.819411,0.306968,0
0.456041,0.137785,0
1.85203,0.453826,0
1.9438,0.413682,0
1.73277,0.779729,0
1.57323,1.05333,0
0.39716,0.768171,1
1.29688,0.235205,0
1.91375,0.461739,0
1.51653,0.524007,0
1.68935,1.14227,0
1.21765,1.36129,1
0.26968,0.892573,1
1.61526,0.122429,0
1.46989,0.280836,0
1.49617,0.603801,0
1.88507,1.23218,0
1.15848,1.35233,1
0.315038,0.819278,1
1.44705,0.0822983,0
1.22407,0.290319,0
1.48177,0.814786,0
2.06078,1.32358,0
1.15973,1.47564,1
0.457648,0.862283,1
1.30844,0.442551,0
1.1402,0.48509,0
1.8017,1.15246,0
2.15314,1.49601,0
1.14207,1.52126,1
0.150898,0.943021,1
1.13494,0.588865,0
1.13374,0.707617,0
1.90885,1.34843,0
2.13519,1.47655,0
0.871789,1.3035,1
0.273823,0.781583,1
1.03345,0.583619,0
1.3568,0.849198,0
2.04364,1.33835,0
1.98483,1.2746,0
0.774171,1.06802,1
0.314593,0.633189,1
0.974936,0.647453,0
1.5921,1.02201,0
2.2508,1.35861,0
2.00991,1.15089,0
0.730562,0.854923,1
0.21487,0.511728,1
1.09297,0.607032,0
1.79193,1.03736,0
2.22759,1.30646,0
1.81821,0.986386,0
0.695768,0.737125,1
0.323988,0.451952,1
1.21725,0.574336,0
1.98273,1.01489,0
2.19803,1.19628,0
1.66772,0.754111,0
0.83477,0.690871,0
0.315016,0.471503,1
1.34415,0.504338,0
2.03244,0.943776,0
2.0042,0.974192,0
1.56257,0.645519,0
1.02211,0.805183,0
0.223961,0.559962,1
1.50258,0.423704,0
1.97567,0.780198,0
1.83362,0.756023,0
1.64987,0.719278,0
1.13738,1.00545,0
0.196813,0.672808,1
1.61385,0.315487,0
1.89282,0.63422,0
1.64358,0.592061,0
1.85066,0.924027,0
1.28168,1.19159,0
0.0853234,0.795518,1
1.64947,0.185467,0
1.71462,0.458908,0
1.52583,0.579555,0
2.05698,1.13901,0
1.39219,1.34343,0
0.0125099,0.841784,1
1.64816,0.14983,0
1.43586,0.320648,0
1.58099,0.729466,0
2.2774,1.33426,0
1.42791,1.43491,1
0.0537373,0.890887,1
1.49993,0.239353,0
1.28263,0.349735,0
1.72077,0.906745,0
2.42739,1.44921,0
1.41162,1.45615,1
0.112498,0.874706,1
1.39717,0.354951,0
1.19915,0.505176,0
1.93096,1.10511,0
2.48388,1.478,0
1.28237,1.37075,1
0.169194,0.798691,1
1.25124,0.449313,0
1.3179,0.697591,0
2.16013,1.26181,0
2.46165,1.44721,0
1.15706,1.25444,1
0.147417,0.731258,1
1.14,0.546158,0
1.46654,0.818989,0
2.29723,1.34443,0
2.37768,1.36143,0
1.035,1.09666,1
0.212078,0.617021,1
1.13598,0.589646,0
1.73435,0.948335,0
2.43364,1.39266,0
2.19487,1.202,0
0.845549,0.893979,1
0.227436,0.511446,1
1.19199,0.614626,0
1.94548,1.01542,0
2.41047,1.32946,0
1.97278,0.985036,0
0.758063,0.730337,0
0.186186,0.436603,1
1.35837,0.607081,0
2.08928,0.995022,0
2.35364,1.20857,0
1.78685,0.777268,0
0.747138,0.637491,0
0.137552,0.427273,1
1.52853,0.525778,0
2.20884,0.935337,0
2.1859,1.03375,0
1.6314,0.624357,0
0.85152,0.716675,0
0.105623,0.512074,1
1.64908,0.445182,0
2.14484,0.819787,0
1.95744,0.820482,0
1.60782,0.651398,0
0.973126,0.866068,0
0.0990176,0.587745,1
1.78793,0.339403,0
2.04473,0.662849,0
1.75483,0.633998,0
1.68386,0.802597,0
1.10717,1.05529,0
0.0964914,0.708327,1
1.79564,0.202694,0
1.88282,0.488025,0
1.58612,0.540587,0
1.87559,1.00942,0
1.23134,1.22536,0
0.129753,0.788698,1
1.7994,0.13015,0
1.6577,0.330826,0
1.52898,0.628002,0
2.13307,1.23348,0
1.31788,1.351,1
0.17465,0.839148,1
1.69441,0.179256,0
1.40839,0.302831,0
1.61156,0.812869,0
2.28135,1.36151,0
1.32124,1.39222,1
0.182881,0.853742,1
1.53599,0.305756,0
1.27386,0.428437,0
1.78831,1.00495,0
2.39456,1.43383,0
1.26971,1.37154,1
0.235217,0.805622,1
1.41271,0.398595,0
1.27258,0.598761,0
2.04179,1.19388,0
2.45686,1.44852,0
1.15745,1.27904,1
0.24534,0.728936,1
1.2519,0.516466,0
1.46541,0.796601,0
2.23235,1.31173,0
2.35816,1.34916,0
1.00318,1.10792,1
0.2251,0.641476,1
1.2029,0.587887,0
1.67586,0.905869,0
2.36207,1.36391,0
2.23629,1.22999,0
0.90263,0.948512,1
0.222959,0.529532,1
1.23404,0.593218,0
1.88247,0.979645,0
2.41586,1.34962,0
2.03559,1.03921,0
0.745567,0.744728,0
0.214587,0.444544,1
1.35505,0.607705,0
2.09984,1.02302,0
2.36392,1.24438,0
1.81522,0.816458,0
0.733473,0.636741,0
0.168617,0.418604,1
1.51293,0.563571,0
2.20287,0.979555,0
2.22928,1.09614,0
1.63896,0.660024,0
0.784926,0.655104,0
0.137,0.458038,1
1.67147,0.493422,0
2.21994,0.890015,0
2.05224,0.905254,0
1.5738,0.621525,0
0.93289,0.811411,0
0.108832,0.561006,1
1.81327,0.392189,0
2.15917,0.745897,0
1.82036,0.693919,0
1.64242,0.749788,0
1.06814,1.00218,0
0.107084,0.667309,1
1.81592,0.258183,0
1.91637,0.536913,0
1.61048,0.564862,0
1.82973,0.967367,0
1.20549,1.19352,0
0.117773,0.772838,1
1.79237,0.149363,0
1.68071,0.365083,0
1.52298,0.611615,0
2.07784,1.18334,0
1.31697,1.33887,1
0.132972,0.845522,1
1.71186,0.173087,0
1.46274,0.294585,0
1.58389,0.770793,0
2.25297,1.33333,0
1.31506,1.39051,1
0.211847,0.840773,1
1.59504,0.258756,0
1.29614,0.392505,0
1.73912,0.972861,0
2.37858,1.43154,0
1.26972,1.37474,1
0.246519,0.811537,1
1.46553,0.372354,0
1.24683,0.546879,0
1.94212,1.14373,0
2.41494,1.4501,0
1.17696,1.30726,1
0.252556,0.753851,1
1.2923,0.482902,0
1.38471,0.741863,0
2.19914,1.30277,0
2.41328,1.40924,0
1.06922,1.17777,1
0.256773,0.666964,1
1.20556,0.567032,0
1.62313,0.896207,0
2.36275,1.38384,0
2.27118,1.27707,0
0.907471,0.989595,1
0.229598,0.573457,1
1.23669,0.623784,0
1.87392,0.98491,0
2.42038,1.36129,0
2.08701,1.09751,0
0.788789,0.811414,1
0.218935,0.467683,1
1.29841,0.597361,0
2.03443,0.99953,0
2.40613,1.28505,0
1.87674,0.886587,0
0.726687,0.661251,0
0.199025,0.424602,1
1.43094,0.55199,0
2.15657,0.97501,0
2.27923,1.1307,0
1.66228,0.685714,0
0.779522,0.646752,0
0.138367,0.447353,1
1.61878,0.497675,0
2.18818,0.887043,0
2.06677,0.938752,0
1.58476,0.61878,0
0.871496,0.75856,0
0.11182,0.539818,1
1.71095,0.389345,0
2.1333,0.759868,0
1.8985,0.755541,0
1.59538,0.695573,0
1.02454,0.952571,0
0.0990482,0.649498,1
1.80921,0.287719,0
1.99233,0.603349,0
1.66971,0.583605,0
1.77628,0.910987,0
1.15799,1.13479,0
0.137842,0.727036,1
1.80968,0.174277,0
1.75322,0.407399,0
1.53054,0.575338,0
1.97127,1.11614,0
1.26128,1.28242,1
0.155297,0.80544,1
1.70911,0.14558,0
1.50916,0.292916,0
1.53866,0.704139,0
2.16488,1.2808,0
1.28949,1.35819,1
0.210433,0.824736,1
1.62801,0.213303,0
1.33194,0.334649,0
1.69387,0.919524,0
2.35694,1.41716,0
1.26833,1.3733,1
0.247907,0.807132,1
1.46282,0.347186,0
1.26289,0.524035,0
1.91017,1.10807,0
2.38923,1.43549,0
1.17852,1.30575,1
0.240641,0.767481,1
1.30623,0.470837,0
1.33926,0.692417,0
2.13095,1.26215,0
2.43072,1.43016,0
1.13947,1.22993,1
0.225259,0.693304,1
1.20643,0.537287,0
1.55327,0.843339,0
2.32541,1.36052,0
2.3215,1.3188,0
0.956974,1.03806,1
0.246824,0.579274,1
1.19322,0.595727,0
1.80884,0.96806,0
2.41526,1.37275,0
2.10342,1.12293,0
0.786968,0.833618,1
0.244606,0.476565,1
1.27104,0.603105,0
1.98591,1.00068,0
2.38591,1.29815,0
1.92771,0.933212,0
0.731501,0.68495,0
0.189516,0.415727,1
1.40931,0.574763,0
2.1453,0.993143,0
2.29896,1.17311,0
1.71442,0.728472,0
0.7535,0.6338,0
0.139772,0.432207,1
1.59585,0.526478,0
2.20743,0.93718,0
2.13702,1.00115,0
1.5996,0.618031,0
0.846147,0.716507,0
0.12685,0.490099,1
1.7265,0.449221,0
2.15377,0.812831,0
1.91422,0.791198,0
1.5883,0.661946,0
0.977675,0.882298,0
0.0930105,0.609592,1
1.76102,0.316541,0
2.00777,0.638623,0
1.70919,0.615838,0
1.71264,0.837895,0
1.12342,1.07956,0
0.131754,0.700944,1
1.8275,0.210562,0
1.83613,0.477813,0
1.54274,0.557809,0
1.92231,1.05908,0
1.21985,1.23469,1
0.179051,0.772698,1
1.7743,0.128758,0
1.5776,0.315592,0
1.53544,0.67468,0
2.15341,1.25281,0
1.29612,1.34837,1
0.186586,0.817643,1
1.63661,0.203196,0
1.3556,0.32465,0
1.65377,0.874709,0
2.32219,1.39345,0
1.31646,1.39783,1
0.213043,0.835691,1
1.5037,0.313653,0
1.24647,0.476739,0
1.87746,1.08191,0
2.44195,1.46701,0
1.24483,1.35269,1
0.251545,0.776273,1
1.336,0.431638,0
1.31808,0.668136,0
2.10511,1.2465,0
2.42344,1.43248,0
1.11549,1.23584,1
0.254129,0.707524,1
1.23075,0.524616,0
1.46784,0.803454,0
2.24928,1.33047,0
2.34131,1.33803,0
1.01143,1.09106,1
0.235484,0.609793,1
1.19147,0.575663,0
1.69382,0.920294,0
2.37091,1.3636,0
2.17654,1.18157,0
0.834455,0.885833,1
0.239033,0.501592,1
1.23797,0.599686,0
1.96153,1.00781,0
2.44534,1.34832,0
2.00386,0.997192,0
0.752093,0.723307,0
0.194296,0.431173,1
1.37082,0.600971,0
2.11285,1.00636,0
2.35216,1.2178,0
1.78868,0.788374,0
0.723945,0.626725,0
0.159135,0.409754,1
1.52503,0.54525,0
2.18899,0.950637,0
2.21776,1.05127,0
1.62155,0.635309,0
0.819649,0.686662,0
0.118358,0.486929,1
1.65933,0.461188,0
2.18336,0.843035,0
1.99486,0.84367,0
1.58795,0.641074,0
0.949255,0.846403,0
0.12156,0.571215,1
1.79215,0.356259,0
2.05729,0.677606,0
1.75162,0.648254,0
1.68683,0.80465,0
1.08136,1.03228,0
0.14376,0.674455,1
1.79686,0.225613,0
1.86317,0.505454,0
1.58167,0.547885,0
1.85849,1.00228,0
1.2145,1.21155,0
0.145093,0.766027,1
1.77581,0.135493,0
1.66019,0.34446,0
1.52628,0.617379,0
2.0724,1.19755,0
1.27029,1.31854,1
0.210781,0.808255,1
1.69768,0.158035,0
1.40845,0.297,0
1.61275,0.819451,0
2.2695,1.35322,0
1.30301,1.37672,1
0.202542,0.829542,1
1.51766,0.298142,0
1.26567,0.430867,0
1.77935,1.00495,0
2.37176,1.42824,0
1.25175,1.36265,1
0.237134,0.807827,1
1.38084,0.412573,0
1.26808,0.611554,0
2.04267,1.2003,0
2.46069,1.45666,0
1.18326,1.28467,1
0.259655,0.724107,1
1.24289,0.49991,0
1.43251,0.784337,0
2.24233,1.32048,0
2.37701,1.36817,0
1.01818,1.11746,1
0.233513,0.633224,1
1.19173,0.582445,0
1.66887,0.91135,0
2.32381,1.35339,0
2.19762,1.21682,0
0.87491,0.933928,1
0.224562,0.525684,1
1.21202,0.594787,0
1.86073,0.982448,0
2.42033,1.3602,0
2.06005,1.05993,0
0.789433,0.768165,0
0.194214,0.441595,1
1.35676,0.610196,0
2.11319,1.03284,0
2.38072,1.26308,0
1.82526,0.83874,0
0.739875,0.637196,0
0.159377,0.40504,1
1.53752,0.582835,0
2.20572,0.996898,0
2.23074,1.099,0
1.65269,0.664097,0
0.792235,0.651105,0
0.134003,0.452651,1
1.6197,0.473358,0
2.15505,0.868583,0
2.03064,0.893364,0
1.56968,0.622865,0
0.911435,0.806226,0
0.0849234,0.560984,1
1.75585,0.393049,0
2.11006,0.750368,0
1.79865,0.700492,0
1.65321,0.761654,0
1.09657,1.01054,0
0.0843216,0.668766,1
1.79763,0.258917,0
1.89742,0.543721,0
1.59925,0.569392,0
1.82589,0.956383,0
1.15598,1.15617,1
0.139181,0.74233,1
1.77203,0.156492,0
1.6898,0.378825,0
1.52277,0.59716,0
2.02804,1.16358,0
1.27975,1.3112,1
0.164635,0.811551,1
1.72753,0.141706,0
1.48216,0.289864,0
1.56222,0.758573,0
2.22407,1.32594,0
1.29314,1.36746,1
0.22132,0.817943,1
1.57441,0.252662,0
1.27041,0.391185,0
1.76457,0.981816,0
2.36539,1.42477,0
1.26579,1.37086,1
0.211045,0.816717,1
1.40628,0.393971,0
1.2514,0.574453,0
1.97129,1.15865,0
2.43501,1.46188,0
1.21008,1.31938,1
0.241978,0.764398,1
1.27099,0.483562,0
1.35968,0.733787,0
2.17398,1.29023,0
2.38165,1.39536,0
1.04522,1.16207,1
