correlation_f0,correlation_f1,confidence,bit
-0.0208362,-0.0080348,0.443399,1
-0.0135691,-0.00941921,0.180521,1
0.0147797,0.00907754,0.239011,0
0.0147095,0.00596628,0.422872,0
-0.00229095,0.00372133,1,1
-0.0397452,-0.021992,0.28756,1
0.00151218,-0.000949694,1,0
0.0185645,0.0083948,0.377225,0
0.0129168,0.00728995,0.278463,0
-0.000865132,0.00310961,1,1
-0.0269336,-0.00629882,0.620923,1
-0.00927689,-0.000263943,0.944671,1
0.0241807,0.0128452,0.306151,0
0.015677,0.00722692,0.368935,0
-0.0178118,-0.00516659,0.550308,1
-0.0142624,-0.0119986,0.0862051,1
-0.00257525,-0.00144714,0.280457,1
0.0319641,0.0120954,0.450953,0
-0.000686026,-0.00191446,0.472387,0
-0.0174367,-0.0142439,0.100781,1
-0.00451116,-0.00912311,0.338261,0
0.0163383,0.00136506,0.845786,0
0.0197257,0.011516,0.262781,0
0.0144288,0.00345632,0.613497,0
-0.0364121,-0.0168768,0.366591,1
-0.0119068,-0.0136909,0.0696941,0
0.0142251,0.00381591,0.576973,0
0.0214179,0.0155058,0.160115,0
-0.00466987,-0.00263366,0.278799,1
-0.00611413,-0.00509035,0.0913724,1
-0.00318706,-0.00488847,0.210687,0
0.0178321,0.00559381,0.522425,0
0.0367782,0.0137238,0.456505,0
-0.0090539,-0.0103828,0.0683698,0
-0.020889,-0.0146646,0.175071,1
-0.013463,-0.0101098,0.142248,1
0.0422974,0.0135208,0.51554,0
0.00502062,0.00561752,0.05611,1
0.00864222,0.00190765,0.638356,0
-0.0253862,-0.0173055,0.18928,1
0.00784373,0.00130003,0.715647,0
0.00260784,0.00535189,0.344742,1
0.0405222,0.0179567,0.385873,0
-0.0304403,-0.0111079,0.465302,1
-0.00973581,-0.00360265,0.45981,1
-0.0338722,-0.0154388,0.37382,1
0.0270358,0.0121648,0.379357,0
-0.00196825,1.55186e-05,1,1
-2.4715e-05,0.00175036,1,1
-0.0264656,-0.0118451,0.381629,1
0.0167065,0.00686456,0.417542,0
0.00493746,0.00677466,0.156863,1
0.0195821,0.00820395,0.409491,0
-0.0177127,-0.0134474,0.136883,1
0.00220699,-0.00659667,1,0
-0.00926544,-0.00511737,0.288404,1
0.0444483,0.0195424,0.389212,0
-0.00271388,-0.00663427,0.419375,0
-0.0137715,-0.00448887,0.508348,1
-0.0103209,-0.00457772,0.385482,1
0.00976532,0.00990128,0.0069132,1
0.0018473,0.00545604,0.494121,1
-0.00366503,0.00404138,1,1
-0.0277078,-0.0175996,0.223104,1
-0.00679473,-0.00216415,0.51687,1
-0.0139816,-0.00417082,0.540466,1
0.0334738,0.0174195,0.315451,0
-0.0160824,-0.0117399,0.156082,1
-0.00466307,-0.00227538,0.344124,1
-0.00807251,-0.00589284,0.156077,1
0.0340259,0.0138101,0.422607,0
0.00774285,0.00102276,0.766642,0
0.00338132,0.00465496,0.158487,1
-0.0257145,-0.0131489,0.323328,1
0.00528967,0.00441716,0.0898866,0
-0.31072,0.0117433,1,1
0.196478,0.0010064,0.989808,0
0.317409,-0.041231,1,0
0.830643,0.254228,0.531322,0
-0.604689,0.113124,1,1
-0.0534344,0.182432,1,1
-0.121941,0.164517,1,1
-0.140428,0.377262,1,1
-0.00782588,0.0798806,1,1
-0.310908,-0.113741,0.464307,1
1.72183,0.512391,0.541325,0
-1.12746,-0.0441479,0.924637,1
-2.92221,-0.25161,0.841447,1
-1.64013,-0.0794905,0.907549,1
-1.28118,-0.000266543,0.999584,1
0.164009,0.170402,0.0191187,1
-0.375397,-0.0589131,0.728705,1
-1.133,-0.618972,0.293398,1
0.966998,-0.18416,1,0
1.05572,-0.0772423,1,0
0.226932,-0.237588,1,0
-0.419097,-0.336676,0.109054,1
-0.81188,-0.316664,0.43881,1
-0.810869,-0.156695,0.676103,1
-0.799169,0.433173,1,1
-2.32681,0.0409945,1,1
-1.86428,-0.186897,0.817766,1
-0.416304,0.00855455,1,1
-0.184901,-0.0129633,0.868968,1
0.187781,0.065004,0.485697,0
0.202999,-0.0367497,1,0
0.619163,-0.568938,1,0
1.61564,-0.00186645,1,0
0.529642,0.311325,0.259602,0
-0.429892,0.220033,1,1
-0.432226,0.256522,1,1
-1.13366,0.322838,1,1
-0.950264,0.443579,1,1
-1.77652,0.810009,1,1
-1.8543,0.449751,1,1
-0.797089,0.0933084,1,1
0.148412,0.149461,0.00352026,1
0.227767,0.195363,0.076581,0
0.375085,0.0547532,0.745238,0
0.218441,-0.0761288,1,0
1.34932,-0.234781,1,0
1.33202,0.152829,0.794149,0
0.0425815,0.627252,0.87286,1
-0.908221,0.682322,1,1
-0.628614,0.716983,1,1
-0.864871,0.888052,1,1
-0.736082,1.0865,1,1
-2.30316,0.96096,1,1
-1.27846,0.790225,1,1
0.250713,0.230594,0.0418008,0
1.00833,0.217536,0.645089,0
0.314529,0.1078,0.489497,0
0.263974,-0.133666,1,0
0.163024,-0.234828,1,0
1.94629,0.0140125,0.985704,0
0.837699,0.144662,0.705481,0
-0.527501,0.69674,1,1
-1.0079,0.71083,1,1
-0.413128,0.87793,1,1
-0.251932,1.11734,1,1
-0.118521,1.24035,1,1
-1.78172,0.762835,1,1
-0.0420624,0.782895,1,1
1.11774,0.330384,0.543708,0
1.18563,0.147542,0.77866,0
0.56505,-0.026254,1,0
0.193736,-0.280364,1,0
0.226953,-0.405064,1,0
1.58713,0.194478,0.781682,0
-0.249001,0.0606786,1,1
-1.16652,0.422718,1,1
-0.9493,0.586071,1,1
-0.21573,0.684235,1,1
0.3151,0.935641,0.496139,1
0.412011,1.016,0.422957,1
-0.757464,0.283227,1,1
1.14103,0.545524,0.35309,0
1.62469,0.310967,0.678696,0
0.977879,0.0482273,0.905999,0
0.359397,-0.097265,1,0
-0.208465,-0.320553,0.211881,0
-0.0816446,-0.422851,0.676332,0
0.754429,0.320651,0.403484,0
-1.07719,-0.0414517,0.925889,1
-1.16399,0.0289294,1,1
-0.354184,0.236386,1,1
0.218354,0.294065,0.147752,1
0.89695,0.435437,0.346381,0
0.750145,0.416073,0.286458,0
0.327001,-0.315992,1,0
1.78298,0.0759528,0.918284,0
1.38109,0.130099,0.827819,0
0.307901,-0.138551,1,0
-0.0513805,-0.202023,0.594477,0
-0.634872,-0.345379,0.295325,1
-0.395898,-0.298661,0.139998,1
-0.411501,0.325463,1,1
-1.61317,-0.139426,0.840892,1
-0.858138,-0.328581,0.446236,1
0.251202,-0.167884,1,0
0.420635,-0.214739,1,0
1.04031,-0.165904,1,0
0.716141,-0.318988,1,0
1.28375,-0.771098,1,0
1.77033,-0.393206,1,0
0.634954,-0.0879767,1,0
-0.540153,-0.225965,0.410103,1
-0.474184,-0.181314,0.44679,1
-0.863196,-0.159456,0.688152,1
-0.540647,-0.046174,0.84263,1
-1.38412,0.242099,1,1
-1.57217,-0.170725,0.80409,1
-0.27515,-0.607669,0.376655,0
0.755829,-0.56164,1,0
0.52029,-0.662559,1,0
0.829645,-0.797527,1,0
0.538887,-0.947052,1,0
1.687,-1.01472,1,0
1.10629,-0.737491,1,0
-0.387883,-0.264865,0.188462,1
-1.17292,-0.248679,0.650141,1
-0.770229,-0.129429,0.712271,1
-0.750094,0.0829384,1,1
-0.517132,0.213696,1,1
-1.9062,0.0695953,1,1
-1.04827,-0.171302,0.719078,1
0.45391,-0.670893,1,0
1.00158,-0.756371,1,0
0.505426,-0.863098,1,0
0.339447,-1.10773,1,0
0.0833602,-1.25549,1,0
1.5603,-0.871833,1,0
0.0770442,-0.814299,1,0
-1.21916,-0.329624,0.574344,1
-1.4255,-0.158784,0.799552,1
-0.797757,-0.0160694,0.960509,1
-0.436863,0.2685,1,1
-0.294758,0.394973,1,1
-1.76085,-0.143615,0.849181,1
-0.138947,-0.126639,0.046344,1
0.94318,-0.539377,1,0
0.881701,-0.70041,1,0
0.18001,-0.797523,1,0
-0.292069,-1.04378,0.562722,0
-0.412901,-1.13903,0.467886,0
0.830521,-0.429178,1,0
-1.03008,-0.60935,0.25663,1
-1.69471,-0.279732,0.716647,1
-1.2454,-0.0264481,0.95841,1
-0.586368,0.110279,1,1
0.0173923,0.372579,0.910802,1
0.0133663,0.463104,0.943894,1
-1.03501,-0.301225,0.549142,1
0.831316,-0.00313701,1,0
1.1287,-0.191522,1,0
0.449685,-0.397841,1,0
-0.162931,-0.435656,0.455614,0
-0.825884,-0.6267,0.137124,1
-0.760868,-0.617677,0.103871,1
-0.204262,0.146233,1,1
-1.78207,-0.200762,0.7975,1
-1.52969,-0.127957,0.845616,1
-0.572078,0.118742,1,1
