f0_energy,f1_energy,bit
0.00539402,0.00381253,0
0.0180614,0.00695333,0
0.021304,0.00897146,0
0.00282363,0.00240077,0
0.0131401,0.0147061,1
0.00860753,0.00458712,0
0.0546372,0.0247768,0
0.03725,0.0203406,0
0.00401707,0.00160966,0
0.0276545,0.0107412,0
0.0231929,0.0126589,0
0.00505451,0.00185454,0
0.010523,0.00558066,0
0.0319716,0.0128344,0
0.0137968,0.00923498,0
0.0237868,0.00910488,0
0.0168176,0.00802667,0
0.00746724,0.00675055,0
0.00635742,0.00480337,0
0.00904974,0.00326438,0
0.0204741,0.0132168,0
0.00634259,0.00519578,0
0.0230728,0.0125882,0
0.0313451,0.0258323,0
0.00982256,0.0075867,0
0.0131314,0.00711109,0
0.018126,0.0053385,0
0.00404609,0.00330135,0
0.00799639,0.00417113,0
0.0275577,0.0164236,0
0.0307621,0.0233427,0
0.00752296,0.00406303,0
0.0110092,0.00416145,0
0.0135482,0.0077808,0
0.043201,0.0179098,0
0.0374928,0.024522,0
0.0175427,0.00507571,0
0.00587973,0.00646373,1
0.00827376,0.0120243,1
0.0499397,0.0238321,0
0.0264264,0.0173717,0
0.00342508,0.00636897,1
0.0212926,0.00829341,0
0.0244527,0.011873,0
0.0454335,0.0265964,0
0.0309093,0.0139225,0
0.00534123,0.00189011,0
0.0152876,0.0044135,0
0.0322184,0.0122946,0
0.0361659,0.0150521,0
0.0170211,0.00149705,0
0.0117681,0.00147213,0
0.0192708,0.0087206,0
0.0282747,0.0124454,0
0.015984,0.0117212,0
0.00554176,0.00246726,0
0.00876946,0.0018518,0
0.0511055,0.0240519,0
0.0428343,0.023785,0
0.0141499,0.00606307,0
0.0167524,0.00876086,0
0.0121877,0.00426499,0
0.00363412,0.00872467,1
0.0347403,0.00921513,0
0.00570783,0.00526892,0
0.0280264,0.0220081,0
0.00197822,0.00144002,0
0.0326957,0.0168593,0
0.00953818,0.00288972,0
0.04169,0.0281016,0
0.0560057,0.0267621,0
0.0198606,0.0115705,0
0.0150632,0.00634778,0
0.023049,0.0115321,0
0.039467,0.0283134,0
0.354064,0.089371,0
0.355394,0.0649028,0
0.594653,0.0769262,0
0.577651,0.156253,0
0.113133,0.260484,1
0.326242,0.380212,1
0.23786,0.326254,1
0.122637,0.318742,1
0.0228868,0.437015,1
0.800587,0.353569,0
0.435075,0.119971,0
1.68754,0.475339,0
1.78649,0.329168,0
1.9981,0.480663,0
1.53718,0.342442,0
1.3751,0.336932,0
1.37316,0.190045,0
1.80982,0.373619,0
1.56376,0.797049,0
1.36744,0.908171,0
0.307806,0.688119,1
0.953666,0.684834,0
0.848584,0.769473,0
0.951004,1.06364,1
0.651933,1.20894,1
0.869432,1.29128,1
1.18489,0.883216,0
1.31497,0.848514,0
1.42152,1.04961,0
1.92584,0.912526,0
1.64713,0.696101,0
1.83062,0.450941,0
1.94292,0.429724,0
1.93399,0.364022,0
1.80993,0.744206,0
1.06464,0.698286,0
0.221261,0.690517,1
0.664047,0.89709,1
0.492133,1.10252,1
0.674668,1.31425,1
0.615057,1.39401,1
0.684949,1.36768,1
0.972185,1.14019,1
1.65545,1.23572,0
1.62606,1.18548,0
1.95833,0.92168,0
1.86499,0.684566,0
1.76873,0.534831,0
1.91581,0.581311,0
2.2155,0.603806,0
1.54872,0.627189,0
0.746338,0.443485,0
0.173153,0.417392,1
0.48425,0.612801,1
0.499998,0.728067,1
0.762371,0.862796,1
0.4565,0.847079,1
0.487994,0.820438,1
1.32712,0.740487,0
2.36144,0.974552,0
1.79533,0.860977,0
1.70142,0.570296,0
1.61494,0.40455,0
1.38893,0.28703,0
1.61063,0.478886,0
2.00661,0.503833,0
1.20386,0.356616,0
1.17716,0.530316,0
0.16095,0.355957,1
0.613259,0.405284,0
0.528841,0.449111,0
0.611133,0.629907,1
0.492991,0.860508,1
0.364455,0.899086,1
1.5158,0.470703,0
2.36156,0.423604,0
1.4122,0.550703,0
1.37621,0.513799,0
1.40666,0.433368,0
1.21736,0.225827,0
1.27716,0.24126,0
1.53015,0.262907,0
1.42684,0.57257,0
1.47291,0.822481,0
0.241028,0.596914,1
0.626256,0.63741,1
0.506469,0.770583,1
0.62669,1.08663,1
0.522175,1.3642,1
0.437713,1.41882,1
1.30808,0.899588,0
1.80621,0.771167,0
1.3903,1.0486,0
1.699,0.932448,0
1.58901,0.815763,0
1.45536,0.529814,0
1.53667,0.366371,0
1.838,0.376742,0
1.86506,0.851588,0
1.50743,0.957881,0
0.343317,0.709256,1
0.613755,0.876226,1
0.484803,1.03189,1
0.651058,1.33676,1
0.618513,1.51129,1
0.55036,1.50653,1
1.08742,1.11335,1
1.64314,1.139,0
1.79366,1.29778,0
2.15989,1.06419,0
1.9231,0.86137,0
1.71658,0.580545,0
1.9398,0.551611,0
2.35979,0.6207,0
1.88415,0.810761,0
1.06017,0.686858,0
0.303626,0.559495,1
0.532647,0.810388,1
0.539661,0.959992,1
0.695901,1.12717,1
0.582834,1.10928,1
0.508799,1.09412,1
1.24342,0.948334,0
2.25879,1.12929,0
2.06168,1.1024,0
2.08869,0.790383,0
1.96223,0.606516,0
1.79828,0.504957,0
2.04369,0.640347,0
2.40786,0.632983,0
1.40998,0.504738,0
0.786365,0.377514,0
0.309991,0.338958,1
0.615499,0.516456,0
0.652696,0.588977,0
0.771682,0.671032,0
0.585832,0.688537,1
0.444942,0.719783,1
1.54301,0.518125,0
2.57331,0.680905,0
1.83287,0.581261,0
1.66709,0.38675,0
1.65316,0.304781,0
1.42999,0.225349,0
1.59807,0.404224,0
1.92347,0.418201,0
1.20306,0.342637,0
1.09769,0.588827,0
0.268579,0.431854,1
0.690464,0.4507,0
0.68765,0.476807,0
0.813378,0.699581,0
0.625687,1.02097,1
0.477411,1.10026,1
1.5701,0.584219,0
2.33134,0.414284,0
1.43072,0.650763,0
1.41984,0.606142,0
1.4032,0.562672,0
1.18962,0.297286,0
1.25998,0.227342,0
1.54065,0.228105,0
1.46893,0.627294,0
1.39113,0.859676,0
0.282321,0.62885,1
0.740353,0.723192,0
0.56851,0.860272,1
0.699712,1.20429,1
0.64926,1.46221,1
0.582341,1.48673,1
1.26365,1.01016,0
1.74242,0.946402,0
1.52512,1.17502,0
1.83173,0.968248,0
1.65251,0.79904,0
1.47562,0.518303,0
1.65708,0.432316,0
2.01073,0.454832,0
1.78413,0.790718,0
1.21775,0.791123,0
0.319318,0.613828,1
0.63551,0.839937,1
