Bit_Index,Corr_f0,Corr_f1,Decision
271,-0.06098,0.00078,1
272,0.05842,0.01511,0
273,0.08887,0.06165,0
274,0.03287,0.01949,0
275,-0.16799,-0.05240,1
276,-0.02882,-0.02908,0
277,0.03079,0.02513,0
278,0.07447,0.06158,0
279,-0.08641,-0.03860,1
280,-0.03519,0.00745,1
281,-0.02523,0.02349,1
282,0.07512,0.04044,0
283,0.02588,0.02062,0
284,-0.10140,-0.04251,1
285,-0.08381,-0.04470,1
286,0.07249,0.01817,0
287,0.05405,0.06031,1
288,0.08837,0.02340,0
289,-0.06916,-0.04451,1
290,-0.08272,-0.01903,1
291,0.15636,0.08969,0
292,0.04809,0.02616,0
293,0.07021,0.02778,0
294,-0.22577,-0.06598,1
295,0.04900,0.00399,0
296,0.00215,0.01849,1
297,0.19537,0.09603,0
298,-0.15042,-0.05321,1
299,-0.08485,-0.05726,1
300,-0.07600,-0.02323,1
301,0.16599,0.09690,0
302,0.03063,0.02978,0
303,-0.02884,-0.01674,1
304,-0.09779,-0.05815,1
305,-0.02446,0.00168,1
306,0.14728,0.08537,0
307,-0.04955,-0.02272,1
308,-0.03637,-0.02500,1
309,-0.18074,-0.08769,1
310,0.19671,0.06478,0
311,0.03775,-0.00573,0
312,0.13528,0.06091,0
313,-0.25901,-0.08660,1
314,0.09344,0.01271,0
315,-0.08077,-0.01368,1
316,0.20447,0.09943,0
317,-0.17525,-0.05604,1
318,0.01258,-0.00170,0
319,-0.13373,-0.03768,1
320,0.17381,0.06383,0
321,0.00857,0.00317,0
322,-0.00539,0.00020,1
323,-0.17272,-0.07210,1
324,0.13055,0.05509,0
325,-0.01376,0.00678,1
326,0.11482,0.06667,0
327,-0.13310,-0.04283,1
328,-0.04768,-0.00558,1
329,0.02050,0.02266,1
330,0.17712,0.08966,0
331,-0.13159,-0.04536,1
332,0.00528,-0.00762,0
333,-0.13616,-0.03761,1
334,0.19015,0.08704,0
335,-0.03786,-0.00417,1
336,0.02630,0.01593,0
337,-0.26576,-0.09702,1
338,0.14939,0.06402,0
339,-0.02072,0.02273,1
340,0.20349,0.09899,0
341,-0.18877,-0.10514,1
342,0.07398,0.02180,0
343,-0.14543,-0.02987,1
344,0.29818,0.14166,0
345,-0.19561,-0.07305,1
346,0.05711,-0.00582,0
347,-0.18667,-0.09471,1
348,0.25381,0.10713,0
349,-0.00834,-0.01410,0
350,0.09958,0.01851,0
351,-0.26913,-0.11706,1
352,0.09132,0.03423,0
353,-0.04762,-0.01898,1
354,0.19782,0.05979,0
355,-0.17594,-0.09508,1
356,0.04898,-0.00095,0
357,-0.11478,-0.07520,1
358,0.23498,0.07515,0
359,-0.11615,-0.05085,1
360,0.04728,0.01042,0
361,-0.20098,-0.10000,1
362,0.19220,0.06139,0
363,-0.06322,0.00119,1
364,0.16173,0.05855,0
365,-0.30071,-0.12505,1
366,0.05132,0.02929,0
367,-0.01266,-0.00264,1
368,0.19922,0.10061,0
369,-0.15287,-0.07110,1
370,0.01079,-0.00915,0
371,-0.14302,-0.02687,1
372,0.14659,0.08173,0
373,0.05576,0.02411,0
374,-0.01810,-0.00309,1
375,-0.12749,-0.05485,1
376,0.02317,0.02206,0
377,0.07020,0.04722,0
378,0.01969,0.00001,0
379,-0.03418,-0.03572,0
380,-0.07260,-0.04450,1
381,0.05923,0.02100,0
382,0.13507,0.02347,0
383,-0.05365,-0.02960,1
384,-0.08416,-0.06241,1
385,-0.01490,-0.02035,0
386,0.10017,0.04180,0
387,0.08000,0.06135,0
388,0.02236,0.03151,1
389,-0.17776,-0.08380,1
390,0.02876,-0.00078,0
391,0.04596,0.01393,0
392,0.13953,0.07792,0
393,-0.14310,-0.07000,1
394,0.01567,-0.00382,0
395,-0.13282,-0.03648,1
396,0.16221,0.07258,0
397,-0.02264,0.00244,1
398,0.01595,0.00598,0
399,-0.20123,-0.07384,1
400,-0.06011,0.09394,1
401,-0.10615,0.10910,1
402,0.14573,0.05874,0
403,-0.15062,-0.16555,0
404,0.09489,0.02541,0
405,0.15150,0.05166,0
406,0.21146,0.05903,0
407,0.06736,0.03681,0
408,-0.07811,-0.02145,1
409,0.10213,0.04444,0
410,-0.01983,-0.01371,1
411,0.00675,-0.02919,0
412,-0.31015,-0.15276,1
413,-0.31815,-0.17014,1
414,-0.18094,-0.08456,1
415,0.05140,0.00116,0
416,0.07750,0.03670,0
417,0.10790,0.05962,0
418,0.14288,0.07086,0
419,0.10087,0.05512,0
420,0.26652,0.14013,0
421,-0.10252,-0.04220,1
422,0.02896,0.00138,0
423,-0.13286,-0.04587,1
424,0.11322,0.07697,0
425,-0.10989,-0.01902,1
426,-0.00237,0.04837,1
427,-0.27714,-0.09741,1
428,0.04480,0.00193,0
429,-0.27083,-0.07916,1
430,0.05724,0.00717,0
431,-0.20358,-0.13147,1
432,0.06846,0.02880,0
433,-0.02955,-0.03230,0
434,0.33461,0.13906,0
435,0.05809,0.01000,0
436,0.13764,0.02106,0
437,-0.17885,-0.07540,1
438,0.19338,0.07208,0
439,-0.05461,-0.01830,1
440,0.10691,0.01924,0
441,-0.23797,-0.12991,1
442,-0.00991,-0.01039,0
443,-0.08605,-0.04767,1
444,0.19227,0.07866,0
445,-0.12701,-0.03452,1
446,0.03100,-0.03108,0
447,-0.27701,-0.10447,1
448,0.12569,0.05715,0
449,-0.02999,-0.02728,1
450,0.13626,0.00646,0
