f0_energy,f1_energy,bit
0.0536625,0.0232224,0
0.00897782,0.000886208,0
0.0311161,0.0100336,0
0.0146673,0.0138564,0
0.00898564,0.00187831,0
0.0157258,0.0103784,0
0.00412314,0.0025702,0
0.016434,0.00713153,0
0.00626038,0.00571824,0
0.0219814,0.0119183,0
0.0183155,0.0107501,0
0.00452099,0.00368755,0
0.0162623,0.00854785,0
0.010563,0.0116257,1
0.0262683,0.0183962,0
0.013339,0.00461497,0
0.0242287,0.0123227,0
0.0182393,0.00602589,0
0.0130783,0.00835253,0
0.0260542,0.00970853,0
0.0174956,0.00212833,0
0.0213682,0.00820407,0
0.00898894,0.00453302,0
0.0259324,0.0171717,0
0.0133532,0.00163654,0
0.0343782,0.023153,0
0.0245463,0.0136528,0
0.0145377,0.0106406,0
0.0423403,0.0272659,0
0.0273859,0.0142693,0
0.0137661,0.00885971,0
0.00134956,0.00116387,0
0.0353175,0.0181266,0
0.0494343,0.033141,0
0.0186995,0.0116911,0
0.0136266,0.00429405,0
0.0255596,0.0114575,0
0.043066,0.0297418,0
0.0447018,0.0175277,0
0.0136847,0.00168049,0
0.0162529,0.00767902,0
0.0141437,0.00900444,0
0.0320303,0.0213713,0
0.0101596,0.00594888,0
0.0202515,0.0052009,0
0.013016,0.00377325,0
0.0113905,0.013055,1
0.0188715,0.00573977,0
0.0107584,0.00435134,0
0.0262457,0.0157203,0
0.0263495,0.0153397,0
0.0133749,0.00365809,0
0.00551321,0.00262668,0
0.0356497,0.0174607,0
0.0182048,0.00951505,0
0.0122385,0.00836671,0
0.0341537,0.0203407,0
0.0108872,0.00452569,0
0.00873308,0.00260932,0
0.0123926,0.00607901,0
0.0274594,0.0154555,0
0.0339873,0.0194823,0
0.00576505,0.00513983,0
0.0395008,0.0223002,0
0.0146149,0.0087347,0
0.00675687,0.00537718,0
0.00773829,0.0034166,0
0.0206189,0.0142118,0
0.0264085,0.0169047,0
0.00521521,0.00310238,0
0.00252839,0.00280363,1
0.0191762,0.0111483,0
0.035787,0.0217824,0
0.0355623,0.0226413,0
0.0233827,0.0115245,0
0.337624,0.0761166,0
0.375355,0.0760571,0
0.614379,0.0903949,0
0.597679,0.177064,0
0.173921,0.30269,1
0.316916,0.403676,1
0.174534,0.335866,1
0.0486288,0.290434,1
0.0471011,0.408853,1
0.795497,0.333803,0
0.422491,0.106041,0
1.68162,0.450256,0
1.77877,0.315623,0
1.96504,0.462512,0
1.50747,0.360516,0
1.54724,0.923083,0
1.16736,0.879985,0
0.413325,0.85455,1
0.628699,0.789858,1
0.238753,0.909568,1
1.20954,0.751293,0
1.66536,0.817067,0
1.44059,0.995392,0
1.66397,0.771082,0
1.69728,0.613774,0
1.43983,0.827709,0
1.15783,0.78275,0
0.113922,0.541975,1
0.708699,0.738146,1
0.621289,0.915122,1
1.1073,0.834464,0
1.40276,0.995475,0
1.68499,1.25769,0
2.02516,0.88597,0
2.10652,0.88443,0
1.66298,0.835519,0
1.1173,0.806405,0
0.142953,0.641557,1
0.468943,0.97828,1
0.318174,0.989297,1
1.02624,1.0674,1
1.56605,1.23141,0
1.85763,1.30586,0
2.3365,0.927456,0
2.06803,0.783521,0
1.37454,0.725716,0
0.893472,0.532729,0
0.238929,0.512643,1
0.671689,0.788175,1
0.360569,0.77309,1
1.27809,0.86997,0
1.86551,1.04031,0
2.06391,1.0224,0
2.52335,0.691671,0
2.31249,0.624727,0
1.27687,0.509036,0
0.86705,0.469383,0
0.199369,0.427876,1
0.547254,0.580937,1
0.323357,0.537995,1
1.45146,0.639582,0
2.05246,0.855759,0
1.94701,0.710107,0
2.1762,0.409295,0
1.96537,0.422395,0
1.16161,0.489587,0
0.991023,0.621247,0
0.317005,0.499906,1
0.407635,0.529554,1
0.218263,0.512109,1
1.51469,0.376958,0
2.02642,0.499926,0
1.75847,0.431697,0
1.89358,0.306358,0
1.70755,0.362829,0
1.31279,0.69319,0
1.18284,0.812801,0
0.260202,0.606757,1
0.310135,0.63469,1
0.255805,0.663003,1
1.62598,0.332736,0
1.88975,0.328846,0
1.54163,0.572284,0
1.77453,0.532555,0
1.5911,0.557596,0
1.62918,0.926461,0
1.36405,0.988797,0
0.307677,0.761014,1
0.312897,0.855137,1
0.292251,0.902501,1
1.45577,0.572448,0
1.54895,0.6328,0
1.51298,0.935821,0
1.92702,0.800717,0
1.78868,0.784781,0
1.88246,1.07995,0
1.50703,1.04355,0
0.353572,0.831861,1
0.371077,1.01021,1
0.334525,1.01724,1
1.23039,0.79648,0
1.38057,0.930426,0
1.75705,1.16446,0
2.35186,0.934371,0
2.14479,0.902375,0
1.95652,1.0373,0
1.42099,0.949492,0
0.328091,0.794689,1
0.475953,1.00436,1
0.370184,0.986182,1
1.13942,0.921752,0
