correlation_f0,correlation_f1,confidence,bit
0.0114101,0.00419675,0.462193,0
-0.0378605,-0.0118951,0.52186,1
-0.0196309,-0.0100242,0.32395,1
-3.59853e-05,0.0058513,1,1
0.00784128,0.0104563,0.142916,1
0.00973252,0.00674017,0.181655,0
-0.00820035,-0.00179869,0.640228,1
-0.0175151,-0.00496042,0.558594,1
0.0207517,0.00832878,0.427191,0
0.0186699,0.0101979,0.293474,0
-0.0266653,-0.0115702,0.394794,1
-0.0369205,-0.0125919,0.491363,1
0.0095333,0.00659348,0.182294,0
0.00613203,0.00307033,0.332708,0
0.0396098,0.0111022,0.562148,0
-0.0250415,-0.0125838,0.331098,1
-0.0131995,-0.00633054,0.351713,1
9.01856e-05,0.00317293,0.944724,1
0.010709,0.00505189,0.358932,0
-0.0106792,-0.0029983,0.561573,1
-0.0157211,-0.00808001,0.321039,1
-0.0312564,-0.0097867,0.523101,1
0.00529485,0.00257113,0.346266,0
0.0220662,0.0143663,0.211346,0
0.0351634,0.00439061,0.777994,0
-0.000643929,-0.00479716,0.763309,0
-0.0168934,-0.00282233,0.713698,1
0.0150849,0.00652719,0.395969,0
-0.0020621,-0.000744775,0.469321,1
0.0169337,0.00407666,0.611938,0
-0.00680606,-0.000320088,0.910165,1
-0.00248481,-0.00852081,0.548447,0
-0.00427257,0.000237651,1,1
0.0213553,0.00922092,0.396857,0
0.0106673,9.22459e-05,0.982853,0
-0.0349925,-0.0137259,0.43652,1
-0.0263516,-0.00701892,0.579334,1
-0.0115777,-0.00438132,0.45093,1
0.0283548,0.0137565,0.346659,0
0.00386479,-0.00176943,1,0
-0.00878705,-0.0089132,0.00712705,0
-0.00281971,-0.00828947,0.492364,0
0.0004866,0.00694353,0.86902,1
0.0112776,0.0106282,0.0296426,0
0.0248793,0.0133293,0.302288,0
-0.0263921,-0.0157851,0.251487,1
0.0159242,0.00662161,0.412607,0
0.0122096,0.00641744,0.310954,0
0.0154455,0.00850071,0.290015,0
-0.025137,-0.00990512,0.434673,1
-0.030009,-0.0117909,0.43584,1
-0.034022,-0.0132585,0.439157,1
0.0321981,0.0165406,0.321254,0
0.00665264,-0.00115405,1,0
-0.0100574,-0.00710814,0.171815,1
-0.0124063,-0.00440102,0.476298,1
-0.00228547,0.00355231,1,1
0.012416,0.00921595,0.147932,0
0.00898129,0.0109467,0.0986241,1
-0.0162298,-0.00344626,0.649699,1
-0.000565568,-0.00336942,0.712544,0
-0.00175397,-0.00492769,0.47499,0
0.0177705,0.0113193,0.221766,0
0.00760202,0.00587016,0.12855,0
-0.00499985,-0.00357863,0.165672,1
-0.0135695,-0.00519423,0.446355,1
-0.0185592,-0.0055993,0.536453,1
0.0192486,0.0101061,0.311449,0
0.0138634,0.0064465,0.365186,0
-0.00291008,-0.012865,0.631054,0
-0.0218486,-0.0150888,0.183008,1
0.00233908,0.00548864,0.40236,1
0.00582677,0.00699385,0.0910318,1
-0.0314183,-0.0120818,0.444515,1
-0.320457,-0.0399232,0.778439,1
0.125521,-0.00307302,1,0
0.0334427,0.00717197,0.646829,0
0.216451,0.194557,0.053269,0
-0.139704,0.0475596,1,1
0.0308231,-0.00915289,1,0
0.071451,0.127991,0.28349,1
0.00813893,0.0431901,0.682872,1
-0.15177,-0.0115227,0.858871,1
-0.122557,-0.00675326,0.895549,1
0.554306,0.181921,0.505803,0
-0.511737,-0.00350314,0.986402,1
-0.433127,0.0414932,1,1
-0.33934,0.0117704,1,1
-0.669794,-0.325763,0.345566,1
0.0878006,-0.0129584,1,0
-0.108743,-0.00892984,0.848226,1
-0.0289373,-0.0367067,0.118355,0
0.0356512,0.348569,0.814423,1
-0.785986,0.0679717,1,1
-0.590432,0.007768,1,1
-0.611875,0.0531213,1,1
-0.390376,-0.268773,0.184485,1
0.308392,0.0228175,0.862217,0
0.0516395,0.0742546,0.179636,1
0.0991631,0.108884,0.0467265,1
-0.248441,0.380648,1,1
-0.879144,0.130504,1,1
-0.660548,0.0571132,1,1
-0.68022,0.041911,1,1
-0.212373,-0.181539,0.0782772,1
0.378495,0.107701,0.556966,0
0.113027,0.245256,0.369064,1
0.111237,0.266934,0.411712,1
-0.541431,0.395164,1,1
-0.943668,0.197325,1,1
-0.612031,0.0915691,1,1
-0.705172,0.0541399,1,1
0.0630457,-0.0204772,1,0
0.355785,0.161441,0.375744,0
0.1254,0.335728,0.456115,1
0.197771,0.384681,0.320903,1
-0.641045,0.395641,1,1
-0.823839,0.253173,1,1
-0.574508,0.0960877,1,1
-0.761524,0.0253956,1,1
0.276067,0.156351,0.276851,0
0.285759,0.226093,0.116569,0
0.0681845,0.39452,0.705278,1
0.176543,0.452691,0.438864,1
-0.829578,0.300115,1,1
-0.633576,0.26207,1,1
-0.406907,0.124094,1,1
-0.644267,0.0208323,1,1
0.423282,0.23959,0.277115,0
0.134418,0.229323,0.260911,1
0.0533335,0.417117,0.773267,1
0.203259,0.48952,0.413206,1
-0.826412,0.188268,1,1
-0.385824,0.228191,1,1
-0.281478,0.0810993,1,1
-0.456165,-0.011444,0.951053,1
0.606894,0.342031,0.279119,0
0.0177402,0.226334,0.854632,1
-0.0511488,0.360951,1,1
0.13655,0.438321,0.524936,1
-0.765799,0.0511111,1,1
-0.0902309,0.188369,1,1
-0.0708847,0.0460296,1,1
-0.232842,-0.0417332,0.696017,1
0.686134,0.389611,0.275645,0
-0.0708498,0.20589,1,1
-0.0433126,0.318966,1,1
0.113171,0.363368,0.525028,1
-0.654814,-0.0946496,0.74742,1
0.237876,0.122989,0.318366,0
0.180687,0.0325864,0.694417,0
0.0124953,-0.0623273,1,0
0.69503,0.398834,0.270779,0
-0.22003,0.127971,1,1
-0.0738465,0.193096,1,1
0.0856683,0.248009,0.486521,1
-0.357436,-0.216578,0.245391,1
0.555132,0.0210403,0.926965,0
0.378673,-0.0191284,1,0
0.265113,-0.0799301,1,0
0.628058,0.343954,0.292285,0
-0.293007,0.055839,1,1
-0.0608683,0.0562325,1,1
0.0413353,0.0791719,0.313978,1
-0.0348033,-0.317326,0.802327,0
0.843374,-0.0576512,1,0
0.564386,-0.0542277,1,0
0.458944,-0.119149,1,0
0.469025,0.247368,0.309406,0
-0.369142,-0.0339907,0.831367,1
-0.0122191,-0.0690398,0.699255,0
0.0170958,-0.0707702,1,0
0.25997,-0.389654,1,0
0.979136,-0.160299,1,0
0.673975,-0.086655,1,0
0.647635,-0.105458,1,0
0.289813,0.129401,0.382648,0
-0.400583,-0.121372,0.534932,1
-0.0116249,-0.212493,0.896261,0
-0.0315181,-0.240675,0.768413,0
0.547675,-0.398108,1,0
0.996365,-0.233109,1,0
0.664889,-0.120224,1,0
0.718082,-0.0988638,1,0
0.106499,0.023429,0.639354,0
-0.310861,-0.171249,0.289586,1
0.00960564,-0.310759,1,0
-0.0882167,-0.367817,0.613113,0
0.814959,-0.357441,1,0
0.92067,-0.26676,1,0
0.621817,-0.115442,1,0
0.700183,-0.0799425,1,0
-0.189485,-0.126824,0.198101,1
-0.270044,-0.224856,0.0913081,1
0.0868005,-0.357472,1,0
-0.0840293,-0.443291,0.681297,0
0.900284,-0.309468,1,0
0.712576,-0.289225,1,0
0.503804,-0.104421,1,0
0.630082,-0.0392795,1,0
-0.401232,-0.234049,0.263164,1
-0.138319,-0.227228,0.243222,0
0.0567049,-0.406131,1,0
-0.088035,-0.466181,0.682308,0
0.939848,-0.185554,1,0
0.449996,-0.262687,1,0
0.287863,-0.0916688,1,0
0.464543,-0.00661841,1,0
-0.534608,-0.304445,0.274313,1
-0.00578817,-0.20547,0.945203,0
0.0545252,-0.380793,1,0
-0.144381,-0.468719,0.529013,0
0.817063,-0.0782027,1,0
0.141001,-0.201053,1,0
0.105637,-0.0443867,1,0
0.241861,0.039974,0.716331,0
-0.672198,-0.365468,0.295597,1
0.0812867,-0.182851,1,0
0.0983573,-0.295498,1,0
-0.118292,-0.386657,0.531469,0
0.623255,0.0453801,0.864261,0
-0.261199,-0.159658,0.241272,1
