correlation_f0,correlation_f1,confidence,bit
-0.770929,-0.39981,0.316996,1
0.0931702,-0.184407,1,0
0.325488,-0.110116,1,0
0.763319,-0.157753,1,0
0.363988,-0.349236,1,0
0.0990938,-0.502093,1,0
1.09881,-0.850377,1,0
1.80645,-0.460067,1,0
0.704794,0.0634971,0.834706,0
-0.224364,-0.136828,0.242352,1
-0.321335,-0.183314,0.273501,1
-0.499094,-0.0365517,0.863523,1
-0.163232,0.100235,1,1
-0.249745,0.21803,1,1
-1.57047,0.354104,1,1
-1.68339,-0.107187,0.880276,1
-0.453046,-0.709104,0.220331,0
0.395858,-0.605547,1,0
0.453261,-0.675609,1,0
0.395319,-0.916652,1,0
0.218249,-1.06933,1,0
0.472694,-1.25529,1,0
2.04939,-1.10458,1,0
1.25612,-0.760457,1,0
-0.067393,-0.165322,0.42081,0
-0.767673,-0.171083,0.635511,1
-0.682003,-0.0398409,0.889613,1
-0.321336,0.265208,1,1
-0.234841,0.359427,1,1
-0.786939,0.473573,1,1
-2.53432,0.112234,1,1
-1.17279,-0.192255,0.718316,1
0.0490365,-0.700941,1,0
0.54602,-0.761501,1,0
0.423509,-0.949065,1,0
-0.17264,-1.28796,0.763604,0
-0.0838369,-1.30922,0.879636,0
0.567986,-1.44127,1,0
2.17541,-0.820973,1,0
0.131104,-0.699948,1,0
-0.838728,-0.31757,0.450712,1
-0.982289,-0.121048,0.780579,1
-0.724319,0.158824,1,1
-0.0128287,0.481941,1,1
-0.209557,0.449226,1,1
-1.02189,0.49111,1,1
-2.36727,-0.208116,0.83838,1
-0.123105,-0.184156,0.198694,0
0.532817,-0.396572,1,0
0.404645,-0.597367,1,0
0.0803813,-0.859909,1,0
-0.668396,-1.08709,0.238508,0
-0.378778,-0.96277,0.435313,0
0.44163,-0.950862,1,0
1.20143,-0.182731,1,0
-1.11189,-0.332996,0.539069,1
-1.27918,-0.319919,0.599876,1
-0.731552,0.0211299,1,1
-0.455553,0.302958,1,1
0.28636,0.491862,0.264067,1
-0.207907,0.315681,1,1
-0.779027,0.306799,1,1
-1.12068,-0.405365,0.468738,1
1.0282,-0.0778452,1,0
0.734086,0.0887163,0.784356,0
0.0278146,-0.167363,1,0
-0.271159,-0.362163,0.143693,0
-0.835854,-0.383959,0.370462,1
-0.415826,-0.14994,0.469957,1
0.0930558,-0.0531673,1,0
-0.305758,0.534562,1,1
-1.84252,0.179375,1,1
-1.07828,-0.150609,0.754886,1
-0.105953,0.151049,1,1
0.0308865,0.292042,0.808711,1
0.409674,0.253795,0.234946,0
-0.0370334,0.0722447,1,1
-0.206785,-0.0144569,0.869311,1
0.624461,-0.416996,1,0
1.64912,0.0490326,0.942252,0
0.616252,0.533472,0.0720001,0
-0.313081,0.358662,1,1
-0.433417,0.337437,1,1
-0.603971,0.523441,1,1
-0.30023,0.703511,1,1
-0.296358,0.881161,1,1
-1.63547,1.02899,1,1
-1.67908,0.641678,1,1
-0.397266,0.0717479,1,1
0.507963,0.18437,0.467394,0
0.488212,0.129924,0.579628,0
0.396263,-0.0930631,1,0
