goertzel_f0,goertzel_f1,matched_corr_f0,matched_corr_f1,iq_mag_f0,iq_mag_f1,final_bit,confidence
0.0399048,0.0188624,-0.0411278,-0.0171424,0.04183,0.0182011,1,0.67
0.0383089,0.0197637,0.0193651,0.0112993,0.0231578,0.0116164,0,1
0.00379855,0.00295416,0.00904451,0.00765696,0.00984649,0.00844413,0,1
0.0201128,0.0124504,0.00631659,0.00601337,0.00689224,0.00676838,0,1
0.00356574,0.00122851,-0.0324537,-0.0160809,0.0367515,0.0175913,1,0.67
0.0318633,0.0190263,0.00510962,-0.0017149,0.00638635,0.00180342,0,1
0.020035,0.0126047,0.0149705,0.00975333,0.0173853,0.00989603,0,1
0.0136359,0.00480719,0.032183,0.00370953,0.0322795,0.00732609,0,1
0.0233113,0.0124378,0.00262877,-0.00205842,0.00331862,0.00225371,0,1
0.0142952,0.000405205,-0.0225792,-0.0119768,0.0239605,0.0133561,1,0.67
0.0300974,0.0106702,0.00873631,-4.07742e-05,0.00939042,0.00314134,0,1
0.00259,0.00123091,0.0314721,0.0113532,0.0317336,0.0124663,0,1
0.0233794,0.0178713,0.00982947,0.00690907,0.0101765,0.00723355,0,1
0.0205544,0.00407507,-0.0246176,-0.0142741,0.0253072,0.0143326,1,0.67
0.00734629,0.00340212,0.00493306,-0.00312269,0.0100977,0.00326811,0,1
0.0202769,0.00331119,0.00647428,-0.00337999,0.00909225,0.00516975,0,1
0.015891,0.0115645,0.0514076,0.020566,0.0533195,0.0217095,0,1
0.0286258,0.0176658,-0.0301444,-0.0123263,0.0304207,0.0125728,1,0.67
0.00910195,0.00437611,0.0110603,0.00406278,0.0141053,0.00521374,0,1
0.010893,0.00725712,-0.0229113,-0.001882,0.0229126,0.00673972,1,0.67
0.0194519,0.0132053,0.0342225,0.0190567,0.0398191,0.0208274,0,1
0.0430255,0.0268132,-0.00457823,-0.00635929,0.00731867,0.00659808,0,1
0.0197352,0.0108079,-0.0188821,-0.0059667,0.0237047,0.00620961,1,0.67
0.00587179,0.00263073,-0.00314413,-0.00255987,0.00609496,0.00450146,1,0.67
0.00755593,0.00758345,0.0100651,0.00637894,0.0241158,0.00767354,0,0.67
0.0290149,0.0152049,0.0167192,0.00292683,0.0167913,0.00293341,0,1
0.00512815,0.00627075,-0.0312958,-0.0193823,0.0314461,0.0206906,1,0.67
0.0154848,0.00818694,0.00840271,0.00628214,0.0115701,0.00737913,0,1
0.00659324,0.00245842,-0.00538104,0.00126175,0.00855628,0.00326458,1,0.67
0.0152314,0.00787456,0.029411,0.0135603,0.0304968,0.0153437,0,1
0.0251583,0.0150327,-0.0269499,-0.00963623,0.0269514,0.00980569,1,0.67
0.00763657,0.00201909,-0.0154248,-0.0068197,0.0155825,0.00765042,1,0.67
0.0233736,0.0116053,-0.0176928,-0.00662603,0.0179728,0.00800521,1,0.67
0.00921798,0.0047871,0.0331289,0.0146714,0.0334899,0.0155282,0,1
0.0142391,0.00215446,-0.0132268,-0.00664151,0.0173304,0.00754375,1,0.67
0.0167887,0.0134017,-0.00348099,-0.00271671,0.00390391,0.00580839,1,0.67
0.0487011,0.0250054,-0.020135,-0.0118095,0.0210697,0.0126076,1,0.67
