correlation_f0,correlation_f1,confidence,bit
-0.0128077,-0.00296169,0.624375,1
-0.0100033,-0.007305,0.155896,1
-0.0173938,-0.00823661,0.357277,1
0.00703818,0.00209918,0.540528,0
0.0230729,0.00532221,0.625132,0
-0.0125134,-0.00574464,0.370726,1
-0.0231402,-0.0131158,0.276489,1
-0.0189151,-0.00702992,0.45809,1
0.047632,0.0153217,0.513239,0
0.0343312,0.0166951,0.345626,0
-0.0288886,-0.00962952,0.5,1
0.00317863,0.00447325,0.169189,1
-0.000255499,-0.00441971,0.890701,0
0.0257387,0.0170328,0.203543,0
-0.0199487,-0.00991777,0.335858,1
-0.00562695,-0.00759768,0.149019,0
-0.0392018,-0.0190421,0.346125,1
0.0207999,0.00880214,0.405303,0
-0.00264146,0.00421613,1,1
0.00876666,0.000124634,0.971965,0
-0.0201342,-0.00796458,0.433101,1
0.00262856,0.00119281,0.375714,0
-0.00814897,-0.00186538,0.627458,1
0.00954344,0.0136987,0.178783,1
-0.00450849,0.000527724,1,1
-0.0122182,-0.00382854,0.522825,1
-0.0478615,-0.0196284,0.41833,1
0.00702323,0.00443814,0.225548,0
0.0209877,0.00920363,0.390312,0
0.0112741,0.00148907,0.766663,0
-0.00856416,-0.00761496,0.0586678,1
-0.00271613,-0.000471808,0.704005,1
0.01161,0.00624026,0.30082,0
0.0119431,0.00390266,0.507417,0
-0.00330707,-0.00282741,0.0781903,1
-0.0205224,-0.0104946,0.323301,1
-0.0309747,-0.01612,0.315423,1
0.0302542,0.0143508,0.356538,0
0.00990873,0.00263041,0.580449,0
0.01744,0.00700186,0.42706,0
-0.024721,-0.00906342,0.463455,1
0.0196157,0.0050642,0.589609,0
0.0116999,-0.000571316,1,0
0.0240801,0.0111197,0.368197,0
-0.039269,-0.0194803,0.336833,1
-0.0168007,-0.00314082,0.684996,1
-0.029159,-0.00828229,0.557585,1
0.0349034,0.0193386,0.286951,0
0.0130619,0.00710608,0.29531,0
0.00599307,0.00866275,0.182159,1
-0.0179711,-0.0150963,0.086938,1
-0.00633909,-0.00187471,0.543521,1
0.0162175,0.00991885,0.240992,0
0.0207682,0.01124,0.297679,0
-0.0382545,-0.0186524,0.344459,1
-0.00739567,-0.00309682,0.409708,1
-0.0252869,-0.0140163,0.286761,1
0.00100521,0.0121781,0.847504,1
-0.00346758,0.000269691,1,1
-0.0228945,-0.00804047,0.48017,1
0.00794136,0.00105651,0.765165,0
0.00552715,0.00486131,0.0640938,0
0.0115568,0.00676533,0.261511,0
0.00143625,0.00236558,0.244445,1
-0.0120625,-0.0103252,0.077601,1
-0.00612965,-0.00586436,0.0221185,1
-0.0122831,-0.00417888,0.4923,1
0.0343585,0.0150634,0.390416,0
0.0106888,0.00361485,0.494555,0
-0.00499474,0.000542423,1,1
-0.00436446,-0.00527602,0.0945551,0
-0.00188646,-0.00407863,0.367499,0
0.0204821,0.00185104,0.834234,0
-0.00402362,0.000529957,1,1
-0.320776,-0.0478138,0.740558,1
0.157581,-0.0040332,1,0
0.0643598,0.00104083,0.968171,0
0.190055,0.176928,0.0357702,0
-0.147426,0.0482136,1,1
0.0467636,-0.0153427,1,0
0.0450636,0.118262,0.448176,1
0.0355317,0.0592498,0.250239,1
-0.17318,-0.0359095,0.656516,1
-0.0832941,0.002109,1,1
0.572702,0.177001,0.52781,0
-0.583196,0.0105537,1,1
-0.750835,-0.315233,0.408607,1
0.396559,0.0125979,0.93842,0
-0.039694,0.279138,1,1
-1.14982,-0.0563056,0.906634,1
-0.72379,-0.270638,0.455692,1
0.582378,0.127136,0.641626,0
-0.0262436,0.286111,1,1
-1.22409,-0.0451593,0.928841,1
-0.632428,-0.228879,0.46853,1
0.551901,0.137392,0.601353,0
-0.130314,0.277612,1,1
-1.18055,-0.00498507,0.99159,1
-0.415698,-0.155867,0.454595,1
0.567297,0.162441,0.554797,0
-0.378405,0.269205,1,1
-1.14862,0.0543896,1,1
-0.25497,-0.0420289,0.716975,1
0.530356,0.191923,0.468563,0
-0.48571,0.279269,1,1
-1.07072,0.112288,1,1
-0.104951,0.0185535,1,1
0.488782,0.230886,0.358355,0
-0.616103,0.295484,1,1
-1.03911,0.142984,1,1
0.0551662,0.0852292,0.214131,1
0.478746,0.257548,0.300422,0
-0.69719,0.283824,1,1
-0.953852,0.168947,1,1
0.207593,0.164317,0.11636,0
0.375044,0.274931,0.154026,0
-0.794484,0.265994,1,1
-0.774108,0.222504,1,1
0.367275,0.232424,0.224864,0
0.279288,0.271813,0.0135628,0
-0.89516,0.250157,1,1
-0.637631,0.250978,1,1
0.496841,0.289221,0.264126,0
0.195088,0.284468,0.18638,1
-1.01267,0.179799,1,1
-0.455939,0.274765,1,1
0.642432,0.353512,0.290096,0
0.073856,0.259619,0.557052,1
-1.01936,0.141763,1,1
-0.298683,0.265826,1,1
0.742716,0.384505,0.317783,0
-0.00155303,0.255568,1,1
-1.02787,0.0863203,1,1
-0.130184,0.250176,1,1
0.77732,0.403623,0.316439,0
-0.0964774,0.230119,1,1
-0.97015,0.0402742,1,1
0.0661163,0.24036,0.568538,1
0.843651,0.416633,0.338826,0
-0.24701,0.184982,1,1
-0.867345,0.0135843,1,1
0.277428,0.233956,0.0850082,0
0.861052,0.412195,0.35253,0
-0.324078,0.153965,1,1
-0.802068,-0.0425667,0.899207,1
0.476246,0.228485,0.351568,0
0.883856,0.415819,0.360118,0
-0.390224,0.120383,1,1
-0.739561,-0.10858,0.743958,1
0.594388,0.180904,0.533326,0
0.873338,0.401647,0.369957,0
-0.400508,0.085274,1,1
-0.566232,-0.155577,0.568924,1
0.760343,0.143103,0.683207,0
0.819686,0.356753,0.393504,0
-0.468748,0.0458416,1,1
-0.444172,-0.207695,0.362767,1
0.911578,0.112921,0.779559,0
0.74818,0.29765,0.430786,0
-0.480647,-0.00421482,0.982614,1
-0.235537,-0.241619,0.0127466,0
1.04991,0.0633975,0.88611,0
0.664183,0.23481,0.477615,0
-0.539481,-0.0777385,0.748101,1
-0.0699494,-0.277697,0.597583,0
1.17715,0.03383,0.944128,0
0.58587,0.169865,0.550464,0
-0.527043,-0.127006,0.611632,1
0.0828032,-0.315935,1,0
1.18997,-0.0222587,1,0
0.491841,0.117506,0.614323,0
-0.508939,-0.170842,0.497362,1
0.253129,-0.332986,1,0
1.21337,-0.065393,1,0
0.332654,0.0421991,0.77485,0
-0.422172,-0.187382,0.385185,1
0.426845,-0.339618,1,0
1.17882,-0.121852,1,0
0.215231,-0.0279782,1,0
-0.413329,-0.226084,0.292839,1
0.60802,-0.32094,1,0
1.0992,-0.166168,1,0
0.0390308,-0.107569,1,0
-0.366371,-0.252734,0.18355,1
0.745863,-0.296851,1,0
1.04705,-0.185365,1,0
-0.123152,-0.182804,0.194971,0
-0.302949,-0.273064,0.0518833,1
0.855452,-0.278792,1,0
0.950434,-0.201622,1,0
-0.245758,-0.231014,0.0309249,1
-0.224136,-0.277662,0.106669,0
0.907875,-0.268398,1,0
0.836076,-0.225393,1,0
-0.34477,-0.273234,0.115752,1
-0.165584,-0.286492,0.267451,0
0.959578,-0.22954,1,0
0.6161,-0.256775,1,0
-0.493244,-0.331066,0.196744,1
-0.0418695,-0.255727,0.718615,0
1.00724,-0.170823,1,0
0.429769,-0.263596,1,0
-0.642121,-0.382393,0.253513,1
0.0338071,-0.244501,1,0
1.02376,-0.118827,1,0
0.248408,-0.266717,1,0
-0.74414,-0.41378,0.285305,1
0.108227,-0.228886,1,0
1.0063,-0.0619349,1,0
0.0756871,-0.242412,1,0
-0.791849,-0.412584,0.314891,1
0.195219,-0.199604,1,0
0.920039,-0.0177027,1,0
-0.110758,-0.224176,0.338626,0
-0.818975,-0.400696,0.342944,1
0.244463,-0.175155,1,0
0.826266,0.0318881,0.925682,0
-0.357568,-0.215335,0.248268,1
-0.859028,-0.399836,0.364767,1
0.361464,-0.107003,1,0
0.753038,0.0973516,0.771042,0
-0.577822,-0.209883,0.467103,1
-0.86759,-0.381006,0.389704,1
0.430203,-0.0552897,1,0
0.600463,0.141457,0.618673,0
-0.714051,-0.167972,0.61912,1
-0.853659,-0.357665,0.409465,1
