goertzel_f0,goertzel_f1,matched_corr_f0,matched_corr_f1,iq_mag_f0,iq_mag_f1,final_bit,confidence
0.0312112,0.0149958,0.0138082,0.00952088,0.0138705,0.0102888,0,1
0.0180895,0.00772769,-0.025143,-0.0123917,0.0252017,0.0124419,1,0.67
0.00830701,0.00581929,-0.00761186,-0.000503462,0.00809585,0.00303595,1,0.67
0.0182762,0.0118351,0.00477217,-0.00415889,0.00618143,0.0059288,0,1
0.0103581,0.00610866,0.0352798,0.0156724,0.0353996,0.0163173,0,1
0.0388634,0.0205802,0.00679963,0.000400454,0.0104563,0.00287793,0,1
0.0237966,0.0123852,-0.0181,-0.0105591,0.0186456,0.0108907,1,0.67
0.0173632,0.00709528,-0.0152717,-0.00902154,0.0195491,0.0104712,1,0.67
0.0373165,0.0174119,0.000815731,-0.000561549,0.00658965,0.00387285,0,1
0.0159512,0.0140668,0.0271252,0.0089341,0.029167,0.0118433,0,1
0.00659689,0.00211348,0.00260939,-0.00351028,0.00310275,0.00383554,0,0.67
0.0250422,0.0167679,-0.0210917,-0.0100783,0.021154,0.0102551,1,0.67
0.0489646,0.0299186,-0.00406836,-0.0049948,0.00933646,0.00513816,0,1
0.0416113,0.0194219,0.0350579,0.0179244,0.0360623,0.017933,0,1
0.0110861,0.00133937,0.0148593,0.00731347,0.0154634,0.00734518,0,1
0.0108187,0.00657961,0.0145927,0.00648379,0.0162883,0.00902377,0,1
0.00458936,0.00407025,-0.0271295,-0.014144,0.0309981,0.01494,1,0.67
0.0271916,0.0137067,0.00437561,-0.000207305,0.00467999,0.00144041,0,1
0.01689,0.0105955,0.0157508,0.00472186,0.0157881,0.0050284,0,1
0.00595043,0.00285511,0.023165,0.0092121,0.0270215,0.0114937,0,1
0.00464301,0.00468496,-0.0272121,-0.0136719,0.029177,0.0152431,1,0.67
0.0142276,0.00740862,0.00549768,0.00347427,0.00602429,0.00422778,0,1
0.0282014,0.00981751,-0.00591997,-0.0055777,0.00599995,0.00829838,1,0.67
